#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
356,Juan Brito,CLE,27,97,109,22,15,5,0,2,11,11,9,0,22,1,1,0,2,0,2,0.229,0.301,0.357,0.658,0.27,19.90%,8.70%
357,Nathan Church,STL,57,175,190,43,32,8,1,3,19,17,11,1,28,2,1,1,4,1,3,0.245,0.294,0.343,0.637,0.278,14.90%,5.50%
358,Jeferson Quero,MIL,17,56,61,14,9,3,0,2,6,7,4,0,11,0,0,0,1,0,1,0.241,0.291,0.378,0.669,0.275,18.70%,6.00%
359,Alex Freeland,LAD,33,108,121,23,15,5,0,3,14,12,11,0,33,1,1,0,3,1,2,0.218,0.296,0.351,0.647,0.283,27.50%,9.10%
360,Justyn-Henry Malloy,TBR,58,182,209,43,28,8,0,6,23,23,23,0,55,2,1,0,1,0,1,0.235,0.326,0.38,0.706,0.302,26.40%,11.00%
361,Jeremiah Jackson,BAL,52,193,206,45,30,9,1,6,23,21,10,0,49,1,1,0,4,1,3,0.234,0.276,0.376,0.651,0.284,24.00%,5.00%
362,Nacho Alvarez Jr.,ATL,23,72,80,17,13,3,0,1,9,7,6,0,17,1,0,0,1,0,1,0.24,0.308,0.347,0.656,0.293,20.80%,7.60%
363,David Hamilton,MIL,62,193,212,40,26,8,2,5,26,17,16,0,57,1,1,1,17,3,14,0.208,0.27,0.337,0.607,0.269,27.10%,7.40%
364,Anthony Santander,TOR,36,139,156,31,18,6,0,7,18,21,14,0,34,2,1,0,0,0,0,0.222,0.3,0.425,0.725,0.239,22.00%,9.10%
365,Matt Shaw,CHC,74,256,282,61,42,11,1,6,34,27,22,0,58,3,2,1,10,3,7,0.237,0.302,0.367,0.668,0.282,20.60%,7.70%
366,Luis Matos,SFG,43,153,164,38,24,8,1,5,19,19,8,0,23,2,1,1,3,1,2,0.249,0.292,0.409,0.701,0.262,14.30%,5.00%
367,Jorge Mateo,ATL,48,150,162,34,22,7,1,3,22,12,8,0,44,1,1,2,13,3,10,0.223,0.268,0.352,0.62,0.291,26.90%,5.10%
368,Jesse Winker,,73,237,276,55,36,10,1,8,32,28,33,1,60,3,2,1,4,1,3,0.231,0.329,0.375,0.704,0.275,21.90%,11.80%
369,Sebastian Walcott,TEX,20,73,80,17,11,4,0,2,9,7,6,0,19,1,0,0,2,0,2,0.229,0.289,0.356,0.645,0.288,24.40%,7.30%
370,Triston Casas,BOS,49,172,198,40,25,8,0,7,22,25,23,2,50,2,1,0,0,0,0,0.232,0.325,0.404,0.729,0.281,25.10%,11.60%
