Unnamed: 0,#,Name,Team,G,AB,PA,HIP,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_HIP,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%
11,13,Ronald Acuna Jr.,ATL,121,350.99085923217547,412.0,83.60511882998172,0.25045703839122485,0.7477477477477478,0.2342342342342342,0.018018018018018018,0.047531992687385734,0.19195612431444242,0.14076782449029127,0.12614259597806216,0.003656307129798903,0.1882998171846435,0.016453382084095063,0.005484460694698354,0.0,0.06581352833638025,0.014625228519195612,0.05118829981718464,0.294,0.3930530164533821,0.5257510729613734,0.9188040894147554,0.3264705882352941,18.82998171846435,12.614259597806216,338,412,77,0.23786407766990292,0.8311688311688312,0.15584415584415584,0.012987012987012988,0.050970873786407765,0.1796116504854369,0.10194174757281553,0.17233009708737865,0.009708737864077669,0.24757281553398058,0.007281553398058253,0.0,0.0,0.021844660194174758,0.0024271844660194173,0.019417475728155338,0.29,0.417,0.518,0.935,0.358,24.8,17.2
12,14,Adley Rutschman,BAL,135,319.61139896373055,364.99999999999994,72.49568221070811,0.227979274611399,0.7391304347826088,0.25217391304347825,0.008695652173913044,0.029360967184801388,0.11917098445595856,0.12089810017271158,0.11053540586301372,0.005181347150259067,0.15716753022452506,0.005181347150259067,0.008635578583765114,0.0,0.0034542314335060456,0.0,0.0034542314335060456,0.26,0.3436960276338515,0.4220907297830374,0.765786757,0.2846534653465346,15.716753022452504,11.053540587219343,322,365,62,0.19452054794520549,0.7096774193548387,0.25806451612903225,0.03225806451612903,0.024657534246575342,0.10136986301369863,0.07945205479452055,0.1095890410958904,0.0,0.15616438356164383,0.0027397260273972603,0.005479452054794521,0.0,0.0,0.0,0.0,0.22,0.307,0.366,0.673,0.24,15.6,11.0
13,15,Elly De La Cruz,CIN,152,628.4683735,699.0,138.9578313253012,0.23644578313253015,0.6893939393939393,0.2424242424242424,0.06818181818181818,0.03765060240963855,0.15662650602409636,0.13253012048192772,0.09186746987951808,0.0030120481927710845,0.29819277108433734,0.006024096385542169,0.0015060240963855422,0.0015060240963855422,0.08132530120481928,0.019578313253012045,0.06174698795180723,0.263,0.334841629,0.4723618090452261,0.8072034380045021,0.352,29.819277108433734,9.186746987951809,629,699,144,0.2374821173104435,0.7361111111111112,0.2152777777777778,0.04861111111111111,0.031473533619456366,0.1459227467811159,0.12303290414878398,0.09585121602288985,0.01430615164520744,0.25894134477825465,0.002861230329041488,0.001430615164520744,0.0,0.05293276108726753,0.011444921316165951,0.04148783977110158,0.264,0.336,0.44,0.777,0.337,25.9,9.6
14,16,Fernando Tatis Jr.,SDP,120,620.5711538461538,691.0,132.88461538461536,0.24807692307692306,0.7100000000000001,0.28,0.010000000000000002,0.05576923076923077,0.1596153846153846,0.15769230769230766,0.08846153846153847,0.001923076923076923,0.21923076923076923,0.009615384615384616,0.003846153846153846,0.0,0.030769230769230767,0.005769230769230769,0.024999999999999998,0.276,0.3461538461538461,0.5267665952890792,0.8729204414429254,0.3067484662576687,21.923076923076923,8.846153846153847,594,691,134,0.2301013024602026,0.7835820895522388,0.20149253731343283,0.014925373134328358,0.0361794500723589,0.16063675832127353,0.10274963820549927,0.1287988422575977,0.010130246020260492,0.18668596237337193,0.008683068017366137,0.002894356005788712,0.0,0.04630969609261939,0.010130246020260492,0.0361794500723589,0.268,0.368,0.446,0.814,0.303,18.7,12.9
15,17,William Contreras,MIL,135,581.1287477954145,659.0,133.65961199294532,0.23809523809523808,0.7478260869565218,0.24347826086956523,0.008695652173913044,0.03527336860670194,0.13403880069802732,0.13227513227513227,0.10934744268077601,0.005291005291005291,0.21340388007054675,0.005291005291005291,0.003527336860670194,0.0,0.010582010582010581,0.001763668430335097,0.008818342151675485,0.27,0.3527336860670194,0.45,0.8027336860670193,0.3185595567867036,21.34038800705467,10.9347442680776,566,659,130,0.22306525037936267,0.7846153846153846,0.2153846153846154,0.0,0.025796661608497723,0.13505311077389984,0.11532625189681335,0.1274658573596358,0.006069802731411229,0.18209408194233687,0.004552352048558422,0.009104704097116844,0.0,0.009104704097116844,0.006069802731411229,0.0030349013657056147,0.26,0.355,0.399,0.754,0.299,18.2,12.7
16,18,Andres Gimenez,TOR,152,333.3098360655738,369.0,81.05901639344263,0.24098360655737708,0.7761194029850746,0.2014925373134328,0.02238805970149254,0.021311475409836068,0.11147540983739838,0.11475409836065574,0.05081967213114755,0.0032786885245901635,0.16885245901639345,0.032786885245901634,0.006557377049180328,0.006557377049180328,0.042622950819672135,0.006557377049180328,0.036065573770491806,0.267,0.3267326732673267,0.397459165,0.7241918384215917,0.3052391799544419,16.885245901639344,5.081967213114754,329,369,62,0.18699186991869918,0.8064516129032258,0.1774193548387097,0.016129032258064516,0.018970189701897018,0.10569105691056911,0.0948509485094851,0.06775067750677506,0.0,0.17886178861788618,0.02981029810298103,0.008130081300813009,0.0027100271002710027,0.032520325203252036,0.005420054200542005,0.02710027100271003,0.21,0.285,0.313,0.598,0.239,17.9,6.800000000000001
17,19,Michael Harris II,ATL,137,596.3589285714286,641.0,152.23749999999998,0.2732142857142857,0.7518796992481205,0.21804511278195488,0.030075187969924814,0.03571428571428571,0.1392857142857143,0.13392857142857142,0.053571428571428575,0.0035714285714285713,0.19999999999999998,0.010714285714285713,0.005357142857142856,0.0,0.026785714285714288,0.008928571428571428,0.017857142857142856,0.294,0.3375,0.4798464491362764,0.8173464491362764,0.3392857142857143,20.0,5.357142857142857,611,641,132,0.23712948517940718,0.7575757575757576,0.19696969696969696,0.045454545454545456,0.031201248049921998,0.08580343213728549,0.13416536661466458,0.0249609984399376,0.0015600624024961,0.1996879875195008,0.0046801872074883,0.0109204368174727,0.0062402496099844,0.031201248049921998,0.0093603744149766,0.0218408736349454,0.249,0.268,0.409,0.678,0.281,20.0,2.5
18,20,Vladimir Guerrero Jr.,TOR,152,598.1954887218045,680.0,143.1578947368421,0.2556390977443609,0.7571428571428571,0.24285714285714283,0.0,0.045112781954887216,0.13684210526315788,0.14887218045112782,0.10676691729411765,0.012030075187969924,0.14135338345588236,0.009022556390977442,0.004511278195488721,0.0,0.006015037593984962,0.003007518796992481,0.003007518796992481,0.291,0.3714285714285714,0.5025641025641026,0.873992674,0.3017241379310345,14.135338345864662,10.676691729323307,589,680,149,0.2529411764705882,0.7718120805369127,0.22818791946308725,0.0,0.033823529411764704,0.1411764705882353,0.12352941176470589,0.11911764705882352,0.011764705882352941,0.13823529411764707,0.008823529411764706,0.0058823529411764705,0.0,0.008823529411764706,0.004411764705882353,0.004411764705882353,0.292,0.381,0.467,0.848,0.313,13.8,11.9
19,21,Trea Turner,PHI,134,591.6666666666666,639.0,147.37878787878788,0.265993265993266,0.7737226277372262,0.2116788321167883,0.014598540145985401,0.03535353535353535,0.14983164983164982,0.12626262626262624,0.06060606060606061,0.0016835016835016834,0.19191919191919193,0.008417508417508417,0.00505050505050505,0.0,0.03535353535353535,0.00505050505050505,0.030303030303030304,0.287,0.335016835,0.4618181818181818,0.7968350168350168,0.3277511961722488,19.19191919191919,6.0606060606060606,589,639,164,0.28012519561815336,0.7682926829268293,0.18902439024390244,0.042682926829268296,0.023474178403755867,0.14710485133020346,0.107981220657277,0.06729264475743349,0.001564945226917058,0.1674491392801252,0.00782472613458529,0.003129890453834116,0.0,0.056338028169014086,0.010954616588419406,0.04538341158059468,0.304,0.355,0.457,0.812,0.35,16.7,6.7
20,22,Jackson Merrill,SDP,152,446.775,483.00000000000006,108.675,0.25999999999999995,0.7629629629629631,0.20000000000000004,0.03703703703703704,0.034999999999999996,0.12833333333333333,0.14166666666666664,0.05833333333333333,0.003333333333333333,0.165,0.0016666666666666666,0.008333333333333333,0.006666666666666666,0.024999999999999994,0.006666666666666666,0.018333333333333333,0.281,0.3221476510067114,0.4612612612612612,0.7834089122679726,0.3068181818181818,16.5,5.833333333333333,440,483,100,0.2401656314699793,0.69,0.25,0.06,0.033126293995859216,0.12215320910973085,0.13871635610766045,0.06832298136645963,0.002070393374741201,0.2236024844720497,0.008281573498964804,0.010351966873706004,0.002070393374741201,0.002070393374741201,0.004140786749482402,-0.002070393374741201,0.264,0.317,0.457,0.774,0.312,22.4,6.800000000000001
