#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
69,Alex Freeland,LAD,134,514,591,119,73,26,1,19,77,71,65,1,159,8,3,1,14,4,10,0.232,0.325,0.397,0.722,0.295,26.90%,11.00%
70,Marcus Semien,NYM,131,521,581,127,87,21,2,17,80,69,52,1,93,4,4,0,9,2,7,0.244,0.315,0.39,0.705,0.265,16.00%,9.00%
71,Nick Kurtz,ATH,136,508,581,134,73,29,1,31,91,103,67,3,160,3,3,0,2,1,1,0.264,0.351,0.508,0.859,0.322,27.50%,11.50%
72,Trent Grisham,NYY,145,450,531,97,56,16,1,24,71,68,72,0,131,5,2,2,6,2,4,0.216,0.329,0.416,0.744,0.246,24.70%,13.60%
73,Isaac Paredes,HOU,134,461,539,110,68,20,1,21,60,73,62,0,91,13,3,0,0,1,-1,0.239,0.343,0.423,0.766,0.253,16.90%,11.50%
74,Andres Gimenez,TOR,133,466,520,116,83,19,2,12,60,60,30,2,90,17,4,3,19,3,16,0.249,0.315,0.376,0.691,0.283,17.30%,5.80%
75,Alex Bregman,CHC,131,491,568,118,75,24,1,18,71,70,65,2,83,8,4,0,2,1,1,0.24,0.336,0.403,0.74,0.254,14.60%,11.40%
76,Kazuma Okamoto,TOR,118,434,495,109,63,23,0,23,58,82,50,6,93,8,3,0,1,1,0,0.251,0.337,0.463,0.801,0.268,18.80%,10.10%
77,Yainer Diaz,HOU,143,541,573,147,100,25,2,20,64,75,24,1,100,3,5,0,1,0,1,0.272,0.304,0.436,0.74,0.298,17.50%,4.20%
78,Brice Turang,MIL,152,551,614,142,103,24,2,13,79,67,55,1,126,1,4,3,27,6,21,0.258,0.324,0.379,0.703,0.31,20.50%,9.00%
79,Rafael Devers,SFG,152,572,666,147,84,32,1,30,91,94,84,11,156,6,4,0,2,1,1,0.257,0.356,0.474,0.83,0.3,23.40%,12.60%
80,Josh Naylor,SEA,144,529,587,144,92,31,0,21,67,91,48,6,82,4,6,0,18,2,16,0.272,0.334,0.45,0.784,0.285,14.00%,8.20%
81,Oneil Cruz,PIT,137,493,561,117,67,23,4,23,73,70,60,4,170,4,4,0,31,5,26,0.237,0.323,0.44,0.763,0.309,30.30%,10.70%
82,Carlos Correa,HOU,127,478,530,123,84,22,1,16,59,58,46,2,112,3,3,0,0,0,0,0.257,0.325,0.408,0.732,0.303,21.10%,8.70%
83,JJ Wetherholt,STL,117,461,523,117,86,20,1,10,66,62,50,1,84,10,2,0,12,2,10,0.254,0.338,0.367,0.705,0.29,16.10%,9.60%
84,Bryson Stott,PHI,147,505,566,131,94,22,3,12,68,62,50,1,95,3,6,2,23,4,19,0.259,0.326,0.386,0.712,0.295,16.80%,8.80%
85,Kyle Schwarber,PHI,150,560,666,125,61,20,1,43,97,109,96,5,194,7,3,0,7,2,5,0.223,0.342,0.493,0.835,0.252,29.10%,14.40%
86,Xander Bogaerts,SDP,130,479,536,124,90,23,1,10,60,52,46,2,96,5,6,0,15,2,13,0.259,0.326,0.374,0.7,0.301,17.90%,8.60%
87,CJ Abrams,WSN,151,579,635,147,93,30,5,19,90,73,36,2,120,15,4,1,31,6,25,0.254,0.312,0.421,0.734,0.288,18.90%,5.70%
88,Sean Murphy,ATL,96,321,367,72,40,15,0,17,41,47,35,1,99,9,2,0,0,0,0,0.224,0.316,0.43,0.746,0.266,27.00%,9.50%
89,Daulton Varsho,TOR,119,410,453,93,49,17,3,24,64,71,34,1,115,4,4,1,7,3,4,0.227,0.29,0.459,0.748,0.251,25.40%,7.50%
90,Moises Ballesteros,CHC,142,530,586,139,100,23,2,14,60,72,47,3,100,4,5,0,2,2,0,0.262,0.324,0.392,0.717,0.297,17.10%,8.00%
91,Ezequiel Tovar,COL,133,516,556,139,86,32,4,17,68,65,28,0,136,3,4,5,6,4,2,0.269,0.309,0.446,0.754,0.332,24.50%,5.00%
92,Francisco Alvarez,NYM,118,392,441,92,55,15,1,21,53,64,41,1,118,6,2,0,1,0,1,0.235,0.315,0.439,0.754,0.278,26.80%,9.30%
93,J.T. Realmuto,PHI,122,447,492,115,74,23,3,15,57,57,33,1,120,9,3,0,8,2,6,0.257,0.319,0.423,0.742,0.317,24.40%,6.70%
94,Max Clark,DET,117,490,560,119,84,17,4,14,77,64,65,0,114,3,2,0,10,1,9,0.243,0.334,0.38,0.714,0.288,20.40%,11.60%
95,Jeff McNeil,ATH,128,438,495,122,81,27,3,11,56,54,41,2,58,10,4,2,4,0,4,0.279,0.351,0.429,0.78,0.298,11.70%,8.30%
96,Taylor Ward,BAL,141,518,592,126,72,26,1,27,74,85,63,0,145,5,6,0,4,2,2,0.243,0.328,0.454,0.781,0.281,24.50%,10.60%
97,Sal Stewart,CIN,133,486,536,125,80,26,0,19,72,76,40,0,101,6,4,0,10,2,8,0.257,0.319,0.428,0.747,0.286,18.80%,7.50%
98,Kyle Teel,CHW,124,445,506,110,79,18,1,12,64,55,54,0,128,4,2,1,7,2,5,0.247,0.333,0.373,0.706,0.319,25.30%,10.70%
99,Hunter Goodman,COL,134,495,537,130,71,30,3,26,68,83,33,0,138,6,3,0,1,1,0,0.263,0.315,0.493,0.808,0.311,25.70%,6.10%
100,Kevin McGonigle,DET,91,351,399,89,51,23,2,13,56,57,40,0,51,2,5,1,6,4,2,0.254,0.329,0.442,0.771,0.26,12.80%,10.00%
101,Brenton Doyle,COL,135,484,524,121,79,22,3,17,64,63,32,0,139,2,4,2,18,3,15,0.25,0.297,0.413,0.71,0.313,26.50%,6.10%
102,Brett Baty,NYM,128,426,471,107,71,16,1,19,59,61,39,0,115,4,2,0,5,1,4,0.251,0.318,0.427,0.746,0.299,24.40%,8.30%
103,Matt McLain,CIN,137,502,569,119,77,23,2,17,73,64,55,0,158,7,3,2,18,3,15,0.237,0.319,0.392,0.712,0.309,27.80%,9.70%
104,Matt Wallner,MIN,128,436,506,104,54,25,2,23,63,69,54,1,155,14,2,0,4,2,2,0.239,0.34,0.463,0.803,0.312,30.60%,10.70%
105,Matt Shaw,CHC,136,470,530,115,74,21,4,16,69,65,49,0,105,6,4,1,19,6,13,0.245,0.321,0.409,0.73,0.28,19.80%,9.20%
106,Carson Williams,TBR,135,498,554,110,68,17,4,21,74,72,47,0,189,5,2,2,16,7,9,0.221,0.293,0.398,0.691,0.307,34.10%,8.50%
107,Sal Frelick,MIL,137,517,572,140,104,23,4,9,72,60,43,1,77,7,3,2,17,5,12,0.271,0.333,0.383,0.716,0.302,13.50%,7.50%
108,Lawrence Butler,ATH,147,532,589,132,81,28,2,21,80,79,52,0,151,1,3,1,18,5,13,0.248,0.315,0.427,0.741,0.306,25.60%,8.80%
109,Xavier Edwards,MIA,130,508,566,140,112,20,4,4,67,48,48,1,77,2,3,5,25,6,19,0.276,0.339,0.354,0.693,0.316,13.60%,8.50%
110,Ernie Clement,TOR,143,469,502,126,90,24,2,10,64,56,21,1,49,3,4,5,6,3,3,0.269,0.302,0.392,0.694,0.28,9.80%,4.20%
111,Jonathan Aranda,TBR,113,394,449,108,74,18,0,16,60,62,43,2,110,8,4,0,1,1,0,0.274,0.354,0.442,0.796,0.338,24.50%,9.60%
112,Michael Stefanic,ATH,111,382,440,106,85,16,1,4,44,45,44,0,48,10,3,1,4,3,1,0.277,0.364,0.356,0.72,0.306,10.90%,10.00%
113,Spencer Torkelson,DET,152,565,645,137,74,31,1,31,85,96,68,3,165,7,5,0,2,0,2,0.242,0.329,0.465,0.794,0.283,25.60%,10.50%
114,Jackson Holliday,BAL,151,572,644,141,92,27,3,19,86,69,65,1,142,5,2,0,16,9,7,0.247,0.328,0.404,0.731,0.295,22.00%,10.10%
115,Jahmai Jones,DET,119,319,373,80,46,19,4,11,54,51,41,1,86,10,1,2,7,3,4,0.251,0.353,0.439,0.792,0.309,23.10%,11.00%
116,Alec Bohm,PHI,134,511,560,144,100,27,2,15,64,72,37,2,86,5,7,0,3,1,2,0.282,0.332,0.431,0.763,0.309,15.40%,6.60%
117,Wilyer Abreu,BOS,122,404,458,99,58,22,1,18,61,64,49,3,113,2,3,0,7,3,4,0.245,0.328,0.438,0.766,0.293,24.70%,10.70%
118,Leody Taveras,BAL,143,493,539,126,87,22,3,14,67,57,38,0,108,1,4,3,23,5,18,0.256,0.308,0.398,0.705,0.299,20.00%,7.10%
119,Jazz Chisholm Jr.,NYY,134,476,540,112,69,16,2,25,71,83,55,2,140,5,3,1,29,7,22,0.235,0.319,0.435,0.754,0.277,25.90%,10.20%
120,Caleb Durbin,BOS,124,441,501,110,73,25,2,10,65,57,35,0,55,18,3,4,20,6,14,0.249,0.328,0.383,0.711,0.264,11.00%,7.00%
121,Jace Jung,DET,130,474,546,107,64,24,1,18,65,69,66,1,140,3,3,0,3,2,1,0.226,0.322,0.395,0.717,0.279,25.60%,12.10%
122,J.P. Crawford,SEA,142,513,594,121,85,24,1,11,64,55,69,1,112,5,3,4,5,1,4,0.236,0.331,0.351,0.681,0.28,18.90%,11.60%
123,Hao-Yu Lee,DET,120,476,532,114,75,21,5,13,68,64,43,1,112,9,4,0,12,3,9,0.239,0.312,0.387,0.699,0.285,21.10%,8.10%
124,Dalton Rushing,LAD,100,336,390,78,45,16,1,16,49,56,42,1,107,9,3,0,1,1,0,0.232,0.331,0.429,0.759,0.287,27.40%,10.80%
125,Max Muncy,LAD,103,340,416,74,39,14,1,20,56,60,65,2,105,6,5,0,2,0,2,0.218,0.307,0.395,0.702,0.329,28.80%,6.30%
126,Luis Robert Jr.,NYM,117,428,470,102,65,19,0,18,59,69,35,3,127,5,2,0,24,6,18,0.238,0.302,0.409,0.711,0.295,27.00%,7.40%
127,Yandy Diaz,TBR,137,520,585,154,110,27,0,17,70,74,55,2,83,6,4,0,2,1,1,0.296,0.368,0.446,0.814,0.323,14.20%,9.40%
128,Mark Vientos,NYM,133,480,527,121,75,22,2,22,59,77,37,0,137,6,4,0,1,0,1,0.252,0.311,0.444,0.755,0.305,26.00%,7.00%
129,Anthony Volpe,NYY,152,556,614,125,75,29,4,17,71,70,47,0,148,5,4,2,22,7,15,0.225,0.289,0.383,0.672,0.273,24.10%,7.70%
130,Jesus Rodriguez,SFG,119,463,510,128,101,18,3,6,59,50,39,1,78,5,3,0,12,5,7,0.276,0.337,0.367,0.704,0.319,15.30%,7.60%
131,Samuel Basallo,BAL,122,446,493,106,58,23,0,25,59,74,39,2,124,5,3,0,1,1,0,0.238,0.304,0.457,0.762,0.27,25.20%,7.90%
132,Colton Cowser,BAL,120,426,483,101,59,22,1,19,63,65,46,1,151,8,3,0,14,2,12,0.237,0.321,0.427,0.748,0.317,31.30%,9.50%
