#,Name,Team,G,AB,PA,HIP,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_HIP,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62
449,Oneil Cruz,PIT,111,539.7305263157895,599.0,108.45052631578946,0.22105263157894736,0.7325581395348838,0.20930232558139533,0.05813953488372094,0.04,0.1473684210526316,0.14105263157894737,0.09052631578947369,0.002105263157894737,0.28210526315789475,0.004210526315789474,0.004210526315789474,0.0,0.031578947368421054,0.010526315789473686,0.02105263157894737,0.245,0.315789474,0.443925234,0.759714707,0.310469314,28.21052632,9.052631579,541,599,119,0.2337228714524207,0.6890756302521008,0.2857142857142857,0.025210084033613446,0.035058430717863104,0.12020033388981637,0.12687813021702837,0.08514190317195326,0.008347245409015025,0.3021702838063439,0.005008347245409015,0.00667779632721202,0.0,0.03672787979966611,0.001669449081803005,0.035058430717863104,0.259,0.324,0.449,0.773,0.347,30.2,8.5,,,,,,,,,
451,Shea Langeliers,OAK,123,487.90736842105264,534.0,87.68842105263157,0.2063157894736842,0.7179487179487181,0.25641025641025644,0.025641025641025647,0.04210526315789474,0.11578947368421054,0.12631578947368421,0.07368421052631581,0.004210526315789474,0.28210526315789475,0.008421052631578947,0.004210526315789474,0.0,0.004210526315789474,0.002105263157894737,0.002105263157894737,0.226,0.288421053,0.419354839,0.707775891,0.276595745,28.21052632,7.368421053,482,534,79,0.20224719101123595,0.7468354430379747,0.22784810126582278,0.02531645569620253,0.054307116104868915,0.10861423220973783,0.149812734082397,0.07677902621722846,0.003745318352059925,0.27153558052434457,0.009363295880149813,0.011235955056179775,0.0,0.00749063670411985,0.003745318352059925,0.003745318352059925,0.224,0.288,0.45,0.739,0.252,27.2,7.7,,,,,,,,,
452,Austin Wells,NYY,108,371.29263157894735,414.0,69.72631578947367,0.20421052631578945,0.7250000000000001,0.2625,0.012499999994716186,0.035789473684210524,0.1073684210526316,0.1326315789473684,0.08421052631578947,0.002105263157004831,0.26315789473684215,0.01263157894736842,0.00631578947368421,0.0,0.010526315789473684,0.002105263157004831,0.008421052631578947,0.228,0.301052632,0.401408451,0.702461082,0.278745645,26.31578947,8.421052632,354,414,68,0.1956521739130435,0.7205882352941176,0.2647058823529412,0.014705882352941176,0.03140096618357488,0.10144927536231885,0.13285024154589373,0.11352657004830918,0.0,0.21014492753623187,0.012077294685990338,0.016908212560386472,0.0024154589371980675,0.0024154589371980675,0.004830917874396135,-0.0024154589371980675,0.229,0.322,0.395,0.718,0.261,21.0,11.4,,,,,,,,,
457,Wilyer Abreu,BOS,116,390.4177215189874,447.0,82.04430379746834,0.2151898734177215,0.7586206896551725,0.22988505747126442,0.011494252873563222,0.03164556962025317,0.1329113924050633,0.12658227848101267,0.1160337552742616,0.0021097046413502112,0.2679324894514768,0.006329113924050633,0.0042194092827004225,0.0,0.0189873417721519,0.008438818565400843,0.010548523206751056,0.246,0.337552743,0.40821256,0.745765303,0.317518248,26.79324895,11.60337553,399,447,86,0.22595078299776286,0.5930232558139535,0.38372093023255816,0.023255813953488372,0.03355704697986577,0.1319910514541387,0.1297539149888143,0.0894854586129754,0.0,0.2796420581655481,0.006711409395973154,0.011185682326621925,0.0,0.017897091722595078,0.006711409395973154,0.011185682326621925,0.253,0.322,0.459,0.781,0.326,28.0,8.9,,,,,,,,,
460,Enrique Hernandez,LAD,122,354.03164556962025,393.0,71.30379746835442,0.20675105485232065,0.7093023255813955,0.2790697674418605,0.011627906976744188,0.025316455696202535,0.12025316455696201,0.12025316455696201,0.0780590717299578,0.002109704641350211,0.20253164556962025,0.010548523206751054,0.010548523206751054,0.0,0.004219409282700422,0.002109704641350211,0.002109704641350211,0.23,0.29535865,0.37470726,0.67006591,0.265432099,20.25316456,7.805907173,362,393,71,0.21119592875318066,0.7746478873239436,0.22535211267605634,0.0,0.030534351145038167,0.11195928753180662,0.10687022900763359,0.06870229007633588,0.0,0.19592875318066158,0.0,0.007633587786259542,0.002544529262086514,0.0,0.0,0.0,0.229,0.281,0.373,0.654,0.257,19.6,6.9,,,,,,,,,
467,Brendan Donovan,STL,121,564.7898089171974,652.0,141.19745222929936,0.23354564755838642,0.803921568627451,0.18627450980392155,0.00980392156862745,0.016985138004246284,0.12951167728527607,0.10403397027600847,0.10191082802547771,0.004246284501061571,0.15074309978768577,0.025477707006369428,0.004246284501061571,0.0021231422505307855,0.008492569002123142,0.004246284501061571,0.004246284501061571,0.27,0.361702128,0.379901961,0.741604088,0.3081571,15.07430998,10.1910828,587,652,149,0.25,0.7516778523489933,0.22818791946308725,0.020134228187919462,0.02147239263803681,0.09969325153374232,0.11196319018404909,0.07208588957055215,0.0,0.12423312883435583,0.019938650306748466,0.007668711656441718,0.0,0.007668711656441718,0.007668711656441718,0.0,0.278,0.342,0.417,0.759,0.3,12.4,7.2,,,,,,,,,
473,Jared Triolo,PIT,110,398.5531914893617,446.0,92.995744679,0.21914893616591927,0.7346938775656443,0.24489795918854815,0.020408163265712344,0.010638297872197309,0.1170212765957447,0.09787234042553192,0.09574468085106384,0.0,0.24893617021276596,0.006382978723404256,0.00425531914893617,0.0,0.02340425531914894,0.006382978723404256,0.01702127659574468,0.245,0.321276596,0.347619048,0.668895643,0.326666667,24.89361702,9.574468085,394,446,76,0.1905829596412556,0.8552631578947368,0.13157894736842105,0.013157894736842105,0.020179372197309416,0.09192825112107623,0.1031390134529148,0.09417040358744394,0.0,0.2645739910313901,0.011210762331838564,0.011210762331838564,0.0,0.017937219730941704,0.002242152466367713,0.01569506726457399,0.216,0.296,0.315,0.611,0.279,26.5,9.4,,,,,,,,,
479,Joey Ortiz,MIL,111,470.6865671641791,511.0,104.59701492537314,0.2238805970149254,0.7083333333333334,0.25,0.041666666666666664,0.019189765458422176,0.1257995735607676,0.11727078891257996,0.06396588485322897,0.0,0.21108742004264391,0.008528784648187633,0.006396588486140726,0.0,0.012793176972281451,0.0042643923240938165,0.008528784648187633,0.243,0.296375267,0.37962963,0.676004896,0.293577982,21.108742,6.396588486,440,511,94,0.2054794520547945,0.6702127659574468,0.26595744680851063,0.06382978723404255,0.021526418786692758,0.11350293542074363,0.11741682974559686,0.1095890410958904,0.0,0.20156555772994128,0.011741682974559686,0.011741682974559686,0.005870841487279843,0.021526418786692758,0.011741682974559686,0.009784735812133072,0.239,0.329,0.398,0.726,0.283,20.2,11.0,,,,,,,,,
484,Vinnie Pasquantino,KCR,109,490.0769230769231,554.0,116.00854700854701,0.24572649572649574,0.6836734693877552,0.29591836734693877,0.02040816326530612,0.03632478632478633,0.11324786324786325,0.13247863247292418,0.09615384615384615,0.00641025641025641,0.1282051282051282,0.010683760683760684,0.008547008547008548,0.0,0.002136752136752137,0.002136752136752137,0.0,0.278,0.352564103,0.480676329,0.833240431,0.287390029,12.82051282,9.615384615,496,554,111,0.23465703971119134,0.7117117117117117,0.2702702702702703,0.018018018018018018,0.03429602888086643,0.11552346570397112,0.17509025270758122,0.07220216606498195,0.0018050541516245488,0.12815884476534295,0.007220216606498195,0.023465703971119134,0.0018050541516245488,0.0018050541516245488,0.0,0.0018050541516245488,0.262,0.315,0.446,0.76,0.265,12.8,7.2,,,,,,,,,
485,Will Benson,CIN,124,329.13675213675214,388.0,62.179487179487175,0.1923076923076923,0.6666666666666667,0.25333333333333335,0.08000000000000002,0.03205128205128205,0.14743589743589744,0.12393162393162394,0.1346153846153846,0.002136752136752137,0.30982905982905984,0.010683760683760684,0.004273504273504274,0.002136752136752137,0.038461538461538464,0.00641025641025641,0.03205128205128205,0.227,0.338329764,0.41813602,0.756465785,0.313807531,30.98290598,13.46153846,343,388,50,0.16494845360824742,0.58,0.38,0.04,0.03608247422680412,0.1056701030927835,0.11082474226804123,0.10309278350515463,0.0,0.39690721649484534,0.005154639175257732,0.005154639175257732,0.002577319587628866,0.041237113402061855,0.01804123711340206,0.023195876288659795,0.187,0.274,0.376,0.65,0.282,39.7,10.3,,,,,,,,,
