#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
268,Will Klein,LAD,3,2,4.07,52,0,0,8,,52.0,227,45,25,24,6,28,1,2,56,9.72,4.86,1.41,24.8%,12.4%
269,Michael Kopech,,2,2,4.30,42,0,0,0,,42.0,183,36,21,20,5,23,1,2,46,9.92,4.85,1.40,25.3%,12.4%
270,Edgardo Henriquez,LAD,2,2,4.16,40,0,0,1,,40.0,173,36,20,19,5,19,1,2,41,9.25,4.18,1.37,23.8%,10.8%
271,Ryan Yarbrough,NYY,3,3,4.22,54,2,0,7,,61.0,262,61,31,29,9,18,1,4,50,7.33,2.61,1.29,18.9%,6.7%
272,Gus Varland,WSN,2,2,4.16,48,0,0,4,,48.0,207,46,24,22,6,19,1,2,43,8.10,3.57,1.36,20.8%,9.2%
273,Jose Suarez,ATL,1,1,3.72,22,0,0,1,,22.0,92,21,10,9,3,7,1,1,22,8.89,2.84,1.25,23.5%,7.5%
274,Grant Wolfram,BAL,2,2,4.20,45,0,0,1,,45.0,196,44,23,21,6,19,1,2,40,8.08,3.78,1.40,20.6%,9.7%
275,Joey Lucchesi,,2,2,4.06,40,0,0,0,,40.0,172,41,20,18,4,14,1,1,30,6.81,3.25,1.39,17.6%,8.4%
276,Nick Sandlin,LAA,2,2,4.37,40,0,0,1,,40.0,173,37,21,19,6,18,1,2,40,8.97,4.14,1.38,23.0%,10.6%
277,Tim Mayza,PHI,2,1,4.00,31,0,0,1,,31.0,133,31,15,14,3,11,1,1,25,7.34,3.29,1.37,18.9%,8.5%
278,Bryce Montes de Oca,WSN,1,0,3.58,10,0,0,1,,10.0,42,8,4,4,1,5,0,0,12,10.73,4.19,1.29,28.1%,11.0%
279,Hogan Harris,ATH,3,3,4.15,66,0,10,11,,66.0,284,61,33,30,8,29,2,3,64,8.69,3.96,1.37,22.5%,10.2%
280,Welinton Herrera,COL,1,2,4.46,30,0,0,1,,30.0,132,30,16,15,4,14,1,1,28,8.53,4.09,1.46,21.5%,10.3%
281,Mason Fluharty,TOR,2,2,3.90,42,0,0,1,,42.0,181,38,20,18,5,18,1,2,43,9.16,3.78,1.33,23.6%,9.7%
282,Hunter Bigge,TBR,2,2,4.15,46,0,0,4,,46.0,198,42,23,21,6,19,1,2,47,9.15,3.81,1.34,23.6%,9.8%
283,Hayden Harris,ATL,2,2,3.90,42,0,0,1,,42.0,181,38,20,18,5,19,1,2,45,9.58,4.01,1.34,24.7%,10.3%
