#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
42,Jose Alvarado,PHI,4,2,3.35,49,0,3,12,,45.2,193,38,18,17,4,19,1,1,54,10.63,3.74,1.25,28.0%,9.8%
43,Jack Dreyer,LAD,3,2,4.18,59,4,0,12,,66.2,276,58,34,31,9,25,3,1,68,9.18,3.37,1.24,24.6%,9.1%
44,Kyle Leahy,STL,4,4,4.03,50,5,0,1,,87.0,372,83,42,39,9,31,0,3,75,7.76,3.21,1.31,20.2%,8.3%
45,Zak Kent,STL,2,3,4.36,34,6,0,1,,55.2,243,50,29,27,6,25,0,2,54,8.73,4.04,1.35,22.2%,10.3%
46,Robert Garcia,TEX,6,4,3.55,62,0,20,6,,58.1,243,49,25,23,6,20,1,2,64,9.88,3.09,1.18,26.3%,8.2%
47,Sam Hentges,SFG,2,2,3.22,45,1,0,1,,44.2,186,40,17,16,3,14,0,1,42,8.46,2.82,1.21,22.6%,7.5%
48,Tyler Holton,DET,5,4,3.59,64,6,1,14,,77.2,307,67,34,31,10,19,1,2,63,7.30,2.20,1.11,20.5%,6.2%
49,Edwin Uceta,TBR,6,4,3.69,59,0,12,11,,70.2,295,56,31,29,9,27,2,6,87,11.08,3.44,1.17,29.5%,9.2%
50,Jeff Hoffman,TOR,6,5,3.38,61,0,26,4,,61.1,250,47,25,23,8,23,2,4,74,10.86,3.38,1.14,29.6%,9.2%
51,Brusdar Graterol,LAD,3,1,3.45,45,0,0,5,,47.0,188,42,19,18,4,11,1,1,38,7.28,2.11,1.13,20.2%,5.9%
52,Garrett Cleavinger,TBR,5,3,3.30,61,0,8,13,,57.1,232,43,23,21,7,20,0,6,72,11.31,3.14,1.10,31.0%,8.6%
53,Evan Phillips,LAD,4,2,3.35,57,0,0,1,,53.2,215,44,22,20,6,16,1,2,57,9.55,2.68,1.12,26.5%,7.4%
54,Brandon Eisert,CHW,4,5,4.17,62,3,0,6,,64.2,279,62,32,30,8,23,2,3,65,9.04,3.20,1.31,23.3%,8.2%
55,Tanner Banks,PHI,3,3,3.92,56,2,0,12,,62.0,258,59,29,27,8,16,1,2,57,8.27,2.32,1.21,22.1%,6.2%
56,Emilio Pagan,CIN,3,3,3.95,58,0,27,4,,57.0,227,46,27,25,8,19,1,1,60,9.47,3.00,1.14,26.4%,8.4%
57,Daniel Palencia,CHC,5,3,3.74,49,3,30,4,,57.2,243,46,26,24,6,24,1,4,64,9.98,3.74,1.21,26.3%,9.9%
58,Jovani Moran,BOS,3,1,3.74,33,3,0,10,,43.1,187,38,19,18,4,19,0,1,48,9.98,3.95,1.32,25.7%,10.2%
59,Luke Weaver,NYM,4,4,4.30,47,5,4,14,,69.0,294,64,36,33,10,24,0,2,76,9.91,3.13,1.28,25.9%,8.2%
60,Felix Bautista,BAL,3,2,3.38,37,0,0,1,,37.1,151,26,15,14,4,17,1,1,50,12.06,4.10,1.15,33.1%,11.3%
61,Raisel Iglesias,ATL,5,3,3.52,59,0,26,4,,56.1,226,48,24,22,7,14,2,2,60,9.59,2.24,1.10,26.5%,6.2%
62,Dylan Lee,ATL,3,3,3.50,64,0,1,16,,61.2,250,53,26,24,9,18,2,0,71,10.36,2.63,1.15,28.4%,7.2%
63,Braydon Fisher,TOR,4,3,3.71,57,1,0,7,,60.2,259,49,27,25,7,29,2,3,71,10.53,4.30,1.29,27.4%,11.2%
64,Steven Okert,HOU,3,2,3.72,57,1,0,14,,55.2,227,45,25,23,8,19,1,3,65,10.50,3.07,1.15,28.6%,8.4%
65,Eduard Bazardo,SEA,3,3,3.55,59,0,1,14,,66.0,272,56,28,26,7,22,1,3,67,9.14,3.00,1.18,24.6%,8.1%
66,Bryan Baker,TBR,4,3,3.95,61,0,3,12,,59.1,244,50,28,26,8,21,0,1,65,9.87,3.19,1.20,26.6%,8.6%
67,Ryan Burr,,2,2,3.47,36,2,0,0,,36.1,154,32,15,14,4,13,0,0,41,10.17,3.22,1.24,26.6%,8.4%
68,Angel Zerpa,MIL,4,3,3.76,56,5,0,12,,67.0,284,62,30,28,8,21,1,3,61,8.19,2.82,1.24,21.5%,7.4%
69,Brenan Hanifee,DET,3,3,3.95,50,4,0,11,,68.1,293,70,32,30,7,18,1,3,49,6.46,2.37,1.29,16.7%,6.1%
70,Shawn Armstrong,CLE,3,2,3.70,55,3,3,16,,58.1,242,52,26,24,7,17,0,4,58,8.95,2.62,1.18,24.0%,7.0%
71,Robert Suarez,ATL,5,4,3.60,57,0,8,11,,55.0,226,48,24,22,6,17,2,2,54,8.84,2.78,1.18,23.9%,7.5%
72,Gregory Soto,PIT,3,3,3.81,62,0,4,14,,54.1,239,48,25,23,4,23,1,6,59,9.78,3.81,1.31,24.7%,9.6%
