#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
385,Francis Pena,SDP,1,1,4.47,8,0,0,1,,8.0,36,8,4,4,1,4,,0,7,7.51,4.29,1.45,18.6%,10.6%
386,Tate Kuehner,MIL,1,1,4.50,14,0,0,1,,14.0,63,13,8,7,2,7,,1,13,8.44,4.69,1.45,20.9%,11.6%
387,Bobby Miller,LAD,1,2,5.04,26,0,0,1,,26.0,114,25,16,15,4,11,,1,24,8.46,3.90,1.39,21.4%,9.9%
388,Yohan Ramirez,PIT,3,4,4.37,56,0,0,10,,56.0,248,49,29,27,6,24,,12,59,9.51,3.90,1.32,23.8%,9.8%
389,Jake Eder,WSN,1,1,4.92,12,0,0,1,,12.0,53,12,7,7,2,5,,1,9,7.11,3.61,1.42,17.8%,9.0%
390,Ryder Ryan,LAD,1,1,4.52,10,0,0,1,,10.0,45,11,5,5,1,4,,1,7,6.55,3.90,1.49,16.2%,9.7%
391,Osvaldo Bido,NYY,1,1,4.75,16,0,0,1,,16.0,71,16,9,8,2,7,,2,14,8.01,3.96,1.42,20.0%,9.9%
392,Ken Waldichuk,WSN,1,1,4.84,11,0,0,1,,11.0,49,10,6,6,1,5,,1,11,8.61,4.36,1.43,21.5%,10.9%
393,Zack Thompson,STL,1,1,4.56,12,0,0,1,,12.0,53,11,7,6,1,6,,1,12,8.75,4.56,1.45,21.8%,11.4%
394,Eric Cerantola,KCR,0,1,4.64,12,0,0,1,,12.0,53,11,7,6,2,6,,1,12,9.12,4.64,1.42,22.7%,11.6%
395,Max Lazar,PHI,2,2,4.66,38,0,0,1,,38.0,163,39,21,20,5,12,,1,30,7.07,2.73,1.32,18.3%,7.1%
396,Austin Voth,CHW,0,0,5.59,8,0,0,1,,8.0,39,9,5,5,1,4,,1,7,8.38,4.49,1.58,19.3%,10.4%
397,Dale Stanavich,MIA,1,1,4.41,12,0,0,1,,12.0,54,11,6,6,1,6,,1,11,8.47,4.76,1.47,20.9%,11.7%
398,Eric Torres,BAL,0,0,5.59,6,0,0,1,,6.0,29,6,4,4,1,3,,0,6,8.38,4.49,1.58,19.3%,10.4%
399,Angel Chivilli,NYY,1,2,4.75,30,0,0,1,,30.0,133,31,17,16,5,11,,2,28,8.28,3.26,1.39,20.8%,8.2%
400,Jesse Scholtens,TBR,1,1,4.52,34,0,0,1,,34.0,147,35,18,17,5,11,,1,28,7.49,2.97,1.36,19.2%,7.6%
