#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
109,Joey Cantillo,CLE,8,5,3.65,54,21,0,1,,139.0,595,120,61,57,17,62,,4,155,10.02,3.99,1.30,26.1%,10.4%,
110,Cade Horton,CHC,8,7,3.89,24,24,0,0,,121.0,495,105,56,52,15,36,,5,105,7.85,2.66,1.17,21.2%,7.2%,
111,Mike Burrows,HOU,4,4,3.96,34,24,0,1,,122.0,511,109,58,54,18,41,,4,123,9.06,2.99,1.22,24.1%,8.0%,
112,Jameson Taillon,CHC,10,8,4.24,28,28,0,0,,144.0,595,141,73,68,23,33,,3,111,6.96,2.06,1.21,18.7%,5.5%,
113,Kyle Leahy,STL,6,6,4.03,46,18,0,1,,135.0,577,129,65,60,14,48,,5,116,7.76,3.21,1.31,20.2%,8.3%,
114,Eduardo Rodriguez,ARI,8,8,4.15,31,23,0,1,,131.0,565,132,65,60,18,46,,2,118,8.10,3.18,1.36,20.9%,8.2%,
115,Cristian Javier,HOU,8,9,4.35,28,28,0,0,,138.0,584,120,73,67,20,62,,5,132,8.60,4.05,1.32,22.5%,10.6%,
116,Cade Cavalli,WSN,6,8,4.47,26,26,0,0,,119.0,521,115,64,59,13,44,,12,104,7.86,3.31,1.34,19.9%,8.4%,
117,Robbie Ray,SFG,9,9,4.04,31,31,0,0,,168.0,708,155,81,75,25,60,,6,164,8.82,3.24,1.29,23.2%,8.5%,
118,Aaron Civale,ATH,7,7,4.57,24,24,0,0,,126.0,530,117,68,64,19,40,,7,110,7.87,2.88,1.25,20.7%,7.6%,
119,Zack Littell,,7,9,4.68,28,28,0,0,,160.0,670,168,89,83,28,32,,6,122,6.85,1.82,1.26,18.1%,4.8%,
120,Adrian Houser,SFG,8,8,4.12,26,26,0,0,,146.0,630,150,72,67,15,48,,7,102,6.32,2.98,1.36,16.2%,7.7%,
121,Seth Lugo,KCR,8,9,4.29,28,28,0,0,,158.0,675,156,81,75,24,53,,6,131,7.44,3.02,1.32,19.4%,7.9%,
122,Zach Eflin,BAL,9,10,4.38,36,24,0,1,,149.0,622,156,78,73,23,29,,4,112,6.75,1.75,1.24,18.0%,4.7%,
123,Jose Quintana,COL,9,9,4.31,26,26,0,0,,140.0,607,139,73,67,18,57,,6,101,6.46,3.66,1.40,16.6%,9.4%,
124,Will Warren,NYY,7,8,4.48,45,21,0,1,,131.0,566,123,71,65,18,48,,6,131,8.95,3.31,1.30,23.1%,8.5%,
125,Justin Steele,CHC,5,3,3.52,15,15,0,0,,79.0,329,72,33,31,9,21,,2,74,8.36,2.42,1.18,22.4%,6.5%,
126,Dean Kremer,BAL,9,9,4.28,42,21,0,1,,140.0,589,137,72,66,20,43,,4,117,7.58,2.75,1.29,19.9%,7.2%,
127,Slade Cecconi,CLE,7,10,4.38,28,28,0,0,,152.0,637,150,80,74,24,38,,6,127,7.54,2.23,1.24,20.0%,5.9%,
128,Bryce Elder,ATL,7,7,4.38,27,21,0,1,,125.0,533,122,66,61,15,41,,5,105,7.58,2.96,1.31,19.7%,7.7%,
129,Tyler Mahle,SFG,7,7,3.92,26,26,0,0,,126.0,521,121,59,55,16,39,,1,99,7.11,2.78,1.27,19.1%,7.5%,
130,Sean Burke,CHW,7,10,4.66,26,26,0,0,,140.0,609,132,78,72,21,62,,6,137,8.80,4.00,1.39,22.4%,10.2%,
131,Andre Pallante,STL,8,9,4.30,24,24,0,0,,130.0,564,131,67,62,12,50,,4,91,6.35,3.44,1.39,16.2%,8.8%,
132,Sean Manaea,NYM,7,7,4.51,43,21,0,1,,136.0,574,126,74,68,21,42,,8,139,9.20,2.74,1.23,24.3%,7.2%,
133,Logan Allen,CLE,7,8,4.13,29,21,0,1,,120.0,521,119,59,55,16,46,,4,100,7.49,3.42,1.37,19.2%,8.8%,
134,Logan Henderson,MIL,8,7,4.13,38,16,0,1,,97.0,406,87,48,45,15,30,,3,99,9.22,2.79,1.21,24.5%,7.4%,
135,Anthony Kay,CHW,6,8,4.67,23,23,0,0,,129.0,561,131,72,67,19,49,,4,109,7.62,3.42,1.40,19.5%,8.7%,
136,Luis Morales,ATH,7,8,4.29,33,19,0,1,,114.0,485,105,59,55,16,44,,4,104,8.21,3.48,1.31,21.5%,9.1%,
137,Brad Lord,WSN,8,9,4.62,37,24,0,1,,142.0,610,143,79,73,18,46,,8,105,6.69,2.95,1.34,17.2%,7.6%,
138,Jared Jones,PIT,5,6,4.05,24,18,0,1,,98.0,419,92,48,44,11,36,,6,88,8.11,3.32,1.31,21.0%,8.6%,
139,Parker Messick,CLE,6,6,3.98,23,23,0,0,,112.0,481,106,53,49,15,38,,7,108,8.69,3.04,1.29,22.5%,7.9%,
140,Kodai Senga,NYM,7,6,3.82,35,19,0,1,,115.0,489,99,52,49,14,52,,4,113,8.84,4.10,1.32,23.1%,10.7%,
141,Robby Snelling,MIA,5,5,4.02,16,16,0,0,,80.0,343,78,38,36,10,27,,2,72,8.12,3.07,1.32,20.9%,7.9%,
142,Max Meyer,MIA,7,9,4.46,34,24,0,1,,125.0,539,125,67,62,18,42,,4,109,7.89,3.06,1.34,20.3%,7.8%,
