#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
134,Michael Lorenzen,COL,6,11,5.32,26,26,0,0,,143.0,625,157,92,84,22,55,,7,114,7.20,3.45,1.48,18.2%,8.7%,10
135,Bryce Elder,ATL,8,6,4.44,27,21,0,1,,124.0,538,128,67,61,16,42,,6,103,7.45,3.02,1.36,19.1%,7.8%,10
136,Robby Snelling,MIA,5,5,4.15,16,16,0,0,,87.0,375,85,44,40,11,31,,4,79,8.21,3.16,1.33,21.2%,8.2%,8
137,Luis Morales,ATH,7,4,4.47,33,19,0,1,,121.0,519,113,66,60,17,52,,6,114,8.46,3.82,1.36,22.0%,9.9%,10
138,Logan Henderson,MIL,6,3,3.89,38,16,0,1,,106.0,445,92,50,46,16,35,,5,111,9.38,2.94,1.20,24.8%,7.8%,9
139,Zack Littell,,9,11,4.85,28,28,0,0,,162.0,687,171,96,87,29,37,,7,121,6.71,2.03,1.28,17.6%,5.3%,13
140,Justin Verlander,DET,9,9,4.54,26,26,0,0,,141.0,600,135,77,71,22,49,,6,119,7.63,3.12,1.31,19.9%,8.1%,12
141,Simeon Woods Richardson,MIN,7,7,4.62,32,24,0,1,,137.0,584,133,77,70,20,50,,6,119,7.84,3.32,1.34,20.4%,8.6%,11
142,Aaron Civale,ATH,7,9,4.86,24,24,0,0,,132.0,562,133,78,71,21,43,,6,108,7.41,2.97,1.34,19.3%,7.7%,11
143,Chase Dollander,COL,5,9,5.04,23,23,0,0,,112.0,499,116,69,63,16,53,,6,104,8.36,4.21,1.50,20.9%,10.5%,9
144,Dean Kremer,BAL,8,4,4.56,42,21,0,1,,139.0,594,138,77,71,21,45,,6,119,7.68,2.90,1.31,20.0%,7.6%,11
145,Ian Seymour,TBR,5,2,3.95,41,11,0,1,,97.0,409,88,47,43,14,30,,4,94,8.76,2.76,1.22,23.1%,7.3%,7
146,Jose Berrios,TOR,8,4,4.67,51,19,0,1,,145.0,622,148,82,75,21,47,,6,117,7.30,2.95,1.35,18.8%,7.6%,10
147,Mick Abel,MIN,6,3,4.26,40,18,0,1,,113.0,495,104,58,53,15,53,,6,112,8.94,4.20,1.39,22.7%,10.6%,10
148,Joe Boyle,TBR,4,2,3.60,21,11,0,1,,69.0,301,55,30,27,7,38,,4,82,10.73,4.99,1.36,27.3%,12.7%,7
149,Johan Oviedo,BOS,7,3,4.26,55,15,0,1,,113.0,483,105,58,53,14,47,,5,112,8.90,3.76,1.34,23.1%,9.8%,8
150,Miles Mikolas,WSN,6,10,5.03,26,26,0,0,,141.0,601,154,86,79,23,35,,6,93,5.96,2.21,1.34,15.5%,5.7%,11
151,Chris Paddack,MIA,7,5,4.79,41,21,0,1,,133.0,571,142,77,71,21,36,,6,99,6.67,2.46,1.34,17.3%,6.4%,10
152,Richard Fitts,STL,6,3,4.49,35,19,0,1,,116.0,496,118,63,58,15,37,,5,90,7.02,2.90,1.34,18.2%,7.5%,9
