#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,HIP,1B%,2B%,3B%,HR%,R%,RBI%,IBB%,HBP%,SF%,SH%,SB%,CS%
143,Brice Turang,MIL,141,515,571,127,93,23,3,8,65,51,47,1,104,2,4,3,37,6,31,0.246,0.309859155,0.349514563,0.659373718,0.292383292,18.21366025,8.23117338,119,0.7815126050420168,0.19327731092436976,0.025210084033613446,0.014010507880910683,0.1138353765323993,0.0893169877408056,0.0017513134851138354,0.0035026269702276708,0.0070052539404553416,0.005253940455341506,0.0647985989492119,0.010507880910683012
105,Christian Yelich,MIL,121,452,525,121,81,22,3,15,73,59,66,5,111,3,2,1,21,4,17,0.268,0.363288719,0.42920354,0.792492259,0.323170732,21.14285714,12.57142857,106,0.7641509433962265,0.20754716981132076,0.02830188679245283,0.02857142857142857,0.13904761904761906,0.11238095238095239,0.009523809523809525,0.005714285714285714,0.0038095238095238095,0.0019047619047619048,0.04,0.007619047619047619
154,Garrett Mitchell,MIL,116,399,452,96,62,18,3,13,57,49,44,0,138,4,2,2,20,5,15,0.239,0.320712695,0.398496241,0.719208935,0.332,30.53097345,9.734513274,83,0.7469879518072289,0.21686746987951808,0.03614457831325301,0.028761061946902654,0.1261061946902655,0.1084070796460177,0.0,0.008849557522123894,0.004424778761061947,0.004424778761061947,0.04424778761061947,0.011061946902654867
58,Jackson Chourio,MIL,149,582,633,157,100,30,3,23,85,84,43,3,131,4,4,1,27,7,20,0.269,0.322274882,0.448453608,0.77072849,0.310185185,20.69510269,6.793048973,134,0.746268656716418,0.22388059701492538,0.022388059701492536,0.036334913112164295,0.13428120063191154,0.13270142180094788,0.004739336492890996,0.00631911532385466,0.00631911532385466,0.001579778830963665,0.04265402843601896,0.011058451816745656
129,Joey Ortiz,MIL,141,493,552,122,80,26,4,12,63,61,47,0,112,5,5,2,11,4,7,0.248,0.316363636,0.389452333,0.705815969,0.294117647,20.28985507,8.514492754,110,0.7272727272727273,0.23636363636363636,0.03636363636363636,0.021739130434782608,0.11413043478260869,0.1105072463768116,0.0,0.009057971014492754,0.009057971014492754,0.0036231884057971015,0.019927536231884056,0.007246376811594203
280,Rhys Hoskins,MIL,130,469,537,103,57,20,1,25,63,76,57,1,148,7,4,0,3,1,2,0.219,0.310986965,0.426439232,0.737426197,0.26,27.56052142,10.61452514,78,0.7307692307692307,0.2564102564102564,0.01282051282051282,0.04655493482309125,0.11731843575418995,0.14152700186219738,0.00186219739292365,0.01303538175046555,0.0074487895716946,0.0,0.00558659217877095,0.00186219739292365
16,William Contreras,MIL,148,546,620,147,94,29,1,23,81,83,66,3,131,4,3,0,7,2,5,0.27,0.350565428,0.452380952,0.80294638,0.313924051,21.12903226,10.64516129,124,0.7580645161290323,0.23387096774193547,0.008064516129032258,0.037096774193548385,0.13064516129032258,0.1338709677419355,0.004838709677419355,0.0064516129032258064,0.004838709677419355,0.0,0.01129032258064516,0.0032258064516129032
215,Brooks Lee,MIN,108,393,427,96,65,21,1,9,44,48,29,2,70,2,3,1,5,1,4,0.243,0.297423888,0.371501272,0.66892516,0.27444795,16.39344262,6.791569087,87,0.7471264367816092,0.2413793103448276,0.011494252873563218,0.02107728337236534,0.10304449648711944,0.11241217798594848,0.00468384074941452,0.00468384074941452,0.00702576112412178,0.00234192037470726,0.0117096018735363,0.00234192037470726
107,Byron Buxton,MIN,105,393,436,95,48,23,2,22,61,61,32,1,121,8,3,0,8,2,6,0.241,0.309633028,0.478371501,0.788004529,0.288537549,27.75229358,7.339449541,73,0.6575342465753424,0.3150684931506849,0.0273972602739726,0.05045871559633028,0.13990825688073394,0.13990825688073394,0.0022935779816513763,0.01834862385321101,0.006880733944954129,0.0,0.01834862385321101,0.0045871559633027525
36,Carlos Correa,MIN,120,453,516,121,77,24,2,18,66,64,55,3,98,4,4,0,0,0,0,0.266,0.348837209,0.44812362,0.79696083,0.302052786,18.99224806,10.65891473,103,0.7475728155339806,0.23300970873786409,0.019417475728155338,0.03488372093023256,0.12790697674418605,0.12403100775193798,0.005813953488372093,0.007751937984496124,0.007751937984496124,0.0,0.0,0.0
216,Edouard Julien,MIN,89,296,345,67,44,13,1,9,42,31,44,1,111,3,2,1,5,1,4,0.227,0.330434783,0.368243243,0.698678026,0.325842697,32.17391304,12.75362319,58,0.7586206896551724,0.22413793103448276,0.017241379310344827,0.02608695652173913,0.12173913043478261,0.08985507246376812,0.002898550724637681,0.008695652173913044,0.005797101449275362,0.002898550724637681,0.014492753623188406,0.002898550724637681
