#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,HIP,1B%,2B%,3B%,HR%,R%,RBI%,IBB%,HBP%,SF%,SH%,SB%,CS%
197,Jeff McNeil,NYM,132,456,505,119,84,25,1,9,57,50,33,1,64,11,4,1,5,0,5,0.261,0.323412698,0.379385965,0.702798663,0.284237726,12.67326733,6.534653465,110,0.7636363636363637,0.22727272727272727,0.00909090909090909,0.01782178217821782,0.11287128712871287,0.09900990099009901,0.0019801980198019802,0.02178217821782178,0.007920792079207921,0.0019801980198019802,0.009900990099009901,0.0
469,Jesse Winker,NYM,125,393,466,94,63,18,1,12,54,51,62,1,94,8,2,1,7,2,5,0.239,0.352688172,0.381679389,0.734367561,0.283737024,20.17167382,13.30472103,82,0.7682926829268293,0.21951219512195122,0.012195121951219513,0.02575107296137339,0.11587982832618025,0.10944206008583691,0.002145922746781116,0.017167381974248927,0.004291845493562232,0.002145922746781116,0.015021459227467811,0.004291845493562232
3,Juan Soto,NYM,152,528,672,146,85,26,2,33,108,100,137,8,109,3,4,0,7,4,3,0.277,0.425595238,0.520833333,0.946428571,0.28974359,16.2202381,20.38690476,113,0.7522123893805309,0.23008849557522124,0.017699115044247787,0.049107142857142856,0.16071428571428573,0.1488095238095238,0.011904761904761904,0.004464285714285714,0.005952380952380952,0.0,0.010416666666666666,0.005952380952380952
76,Mark Vientos,NYM,137,508,560,127,75,24,2,26,66,86,43,1,169,5,4,0,0,0,0,0.25,0.3125,0.458661417,0.771161417,0.318611987,30.17857143,7.678571429,101,0.7425742574257426,0.2376237623762376,0.019801980198019802,0.04642857142857143,0.11785714285714285,0.15357142857142858,0.0017857142857142857,0.008928571428571428,0.007142857142857143,0.0,0.0,0.0
70,Pete Alonso,NYM,152,562,649,137,77,26,1,33,83,101,68,7,149,14,5,0,4,0,4,0.244,0.337442219,0.46975089,0.807193108,0.27012987,22.95839753,10.47765794,104,0.7403846153846154,0.25,0.009615384615384616,0.05084745762711865,0.12788906009244994,0.15562403697996918,0.01078582434514638,0.02157164869029276,0.007704160246533128,0.0,0.0061633281972265025,0.0
1,Aaron Judge,NYY,145,517,635,146,74,26,0,46,102,124,109,14,165,5,4,0,8,1,7,0.282,0.409448819,0.599613153,1.009061972,0.322580645,25.98425197,17.16535433,100,0.74,0.26,0.0,0.07244094488188976,0.16062992125984252,0.1952755905511811,0.02204724409448819,0.007874015748031496,0.006299212598425197,0.0,0.012598425196850394,0.0015748031496062992
51,Anthony Volpe,NYY,152,581,645,139,85,33,5,16,81,73,51,1,149,8,4,1,26,6,20,0.239,0.307453416,0.395869191,0.703322607,0.292857143,23.10077519,7.906976744,123,0.6910569105691057,0.2682926829268293,0.04065040650406504,0.024806201550387597,0.12558139534883722,0.11317829457364341,0.0015503875968992248,0.012403100775193798,0.006201550387596899,0.0015503875968992248,0.040310077519379844,0.009302325581395349
150,Austin Wells,NYY,108,389,442,89,53,20,1,15,47,58,43,0,109,6,4,0,4,1,3,0.229,0.312217195,0.401028278,0.713245472,0.275092937,24.66063348,9.728506787,74,0.7162162162162162,0.2702702702702703,0.013513513513513514,0.033936651583710405,0.10633484162895927,0.13122171945701358,0.0,0.013574660633484163,0.00904977375565611,0.0,0.00904977375565611,0.0022624434389140274
81,Cody Bellinger,NYY,132,500,556,132,85,25,2,20,77,81,43,5,90,4,9,0,11,3,8,0.264,0.321942446,0.442,0.763942446,0.280701754,16.18705036,7.73381295,112,0.7589285714285714,0.22321428571428573,0.017857142857142856,0.03597122302158273,0.13848920863309352,0.14568345323741008,0.008992805755395683,0.007194244604316547,0.01618705035971223,0.0,0.019784172661870502,0.00539568345323741
540,Giancarlo Stanton,NYY,107,394,440,90,49,16,0,25,45,69,42,2,131,2,2,0,0,0,0,0.228,0.304545455,0.459390863,0.763936317,0.270833333,29.77272727,9.545454545,65,0.7538461538461538,0.24615384615384617,0.0,0.056818181818181816,0.10227272727272728,0.15681818181818183,0.004545454545454545,0.004545454545454545,0.004545454545454545,0.0,0.0,0.0
209,Jasson Dominguez,NYY,102,402,447,102,69,15,2,16,62,56,42,1,113,1,2,0,20,3,17,0.254,0.324384787,0.42039801,0.744782797,0.312727273,25.27964206,9.395973154,86,0.8023255813953488,0.1744186046511628,0.023255813953488372,0.035794183445190156,0.13870246085011187,0.12527964205816555,0.0022371364653243847,0.0022371364653243847,0.0044742729306487695,0.0,0.0447427293064877,0.006711409395973154
46,Jazz Chisholm Jr.,NYY,134,498,552,125,78,20,3,24,72,83,46,3,139,4,3,1,32,8,24,0.251,0.317604356,0.447791165,0.76539552,0.298816568,25.18115942,8.333333333,101,0.7722772277227723,0.19801980198019803,0.0297029702970297,0.043478260869565216,0.13043478260869565,0.1503623188405797,0.005434782608695652,0.007246376811594203,0.005434782608695652,0.0018115942028985507,0.057971014492753624,0.014492753623188406
188,Paul Goldschmidt,NYY,136,524,587,131,79,29,0,23,73,81,57,2,156,3,3,0,9,0,9,0.25,0.325383305,0.437022901,0.762406206,0.310344828,26.5758092,9.710391823,108,0.7314814814814815,0.26851851851851855,0.0,0.039182282793867124,0.12436115843270869,0.13798977853492334,0.0034071550255536627,0.005110732538330494,0.005110732538330494,0.0,0.015332197614991482,0.0
71,Alec Bohm,PHI,146,553,607,157,105,34,2,16,70,82,42,1,93,5,7,0,4,2,2,0.284,0.336079077,0.439421338,0.775500416,0.312638581,15.32125206,6.919275124,141,0.7446808510638298,0.24113475177304963,0.014184397163120567,0.026359143327841845,0.11532125205930807,0.13509060955518945,0.0016474464579901153,0.008237232289950576,0.011532125205930808,0.0,0.006589785831960461,0.0032948929159802307
173,Brandon Marsh,PHI,133,420,476,105,68,20,4,13,56,59,48,1,147,3,4,1,14,3,11,0.25,0.328421053,0.40952381,0.737944862,0.348484848,30.88235294,10.08403361,92,0.7391304347826086,0.21739130434782608,0.043478260869565216,0.0273109243697479,0.11764705882352941,0.12394957983193278,0.0021008403361344537,0.0063025210084033615,0.008403361344537815,0.0021008403361344537,0.029411764705882353,0.0063025210084033615
36,Bryce Harper,PHI,131,482,564,137,76,35,0,26,81,83,74,10,124,3,4,1,8,3,5,0.284,0.380106572,0.518672199,0.898778771,0.330357143,21.9858156,13.12056738,111,0.6846846846846847,0.3153153153153153,0.0,0.04609929078014184,0.14361702127659576,0.14716312056737588,0.01773049645390071,0.005319148936170213,0.0070921985815602835,0.0017730496453900709,0.014184397163120567,0.005319148936170213
88,Bryson Stott,PHI,142,509,565,131,94,23,3,11,67,60,47,1,99,3,6,0,24,3,21,0.257,0.320353982,0.379174853,0.699528835,0.296296296,17.52212389,8.318584071,120,0.7833333333333333,0.19166666666666668,0.025,0.019469026548672566,0.11858407079646018,0.10619469026548672,0.0017699115044247787,0.005309734513274336,0.010619469026548672,0.0,0.04247787610619469,0.005309734513274336
