#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,HIP,1B%,2B%,3B%,HR%,R%,RBI%,IBB%,HBP%,SF%,SH%,SB%,CS%
188,Connor Wong,BOS,106,368,401,87,57,17,2,11,46,43,23,0,108,5,3,2,8,2,6,0.237,0.288220551,0.383152174,0.671372725,0.301587302,26.93266833,5.735660848,76,0.75,0.2236842105263158,0.02631578947368421,0.02743142144638404,0.11471321695760599,0.10723192019950124,0.0,0.012468827930174564,0.007481296758104738,0.004987531172069825,0.0199501246882793,0.004987531172069825
31,Jarren Duran,BOS,148,585,646,158,96,36,6,20,94,74,50,2,148,7,3,1,33,6,27,0.269,0.333333333,0.454700855,0.788034188,0.328571429,22.91021672,7.73993808,138,0.6956521739130435,0.2608695652173913,0.043478260869565216,0.030959752321981424,0.14551083591331268,0.11455108359133127,0.0030959752321981426,0.010835913312693499,0.0046439628482972135,0.0015479876160990713,0.05108359133126935,0.009287925696594427
208,Kristian Campbell,BOS,69,255,285,66,45,13,1,7,35,30,24,1,66,4,2,1,6,1,5,0.258,0.329824561,0.4,0.729824561,0.320652174,23.15789474,8.421052632,59,0.7627118644067796,0.22033898305084745,0.01694915254237288,0.02456140350877193,0.12280701754385964,0.10526315789473684,0.0035087719298245615,0.014035087719298246,0.007017543859649123,0.0035087719298245615,0.021052631578947368,0.0035087719298245615
276,Masataka Yoshida,BOS,108,402,447,108,74,22,1,11,52,52,34,2,60,8,3,0,2,1,1,0.269,0.33557047,0.410447761,0.746018231,0.290419162,13.42281879,7.606263982,97,0.7628865979381443,0.2268041237113402,0.010309278350515464,0.024608501118568233,0.116331096196868,0.116331096196868,0.0044742729306487695,0.017897091722595078,0.006711409395973154,0.0,0.0044742729306487695,0.0022371364653243847
26,Rafael Devers,BOS,147,563,638,150,85,30,2,33,85,99,64,9,135,7,4,0,3,1,2,0.266,0.346394984,0.502664298,0.849059283,0.293233083,21.15987461,10.03134796,117,0.7264957264957265,0.2564102564102564,0.017094017094017096,0.05172413793103448,0.13322884012539185,0.15517241379310345,0.014106583072100314,0.0109717868338558,0.006269592476489028,0.0,0.004702194357366771,0.001567398119122257
287,Roman Anthony,BOS,87,315,353,76,50,17,2,8,42,36,33,1,88,2,2,0,7,1,6,0.242,0.315340909,0.387301587,0.702642496,0.307692308,24.92917847,9.348441926,68,0.7352941176470589,0.25,0.029411764705882353,0.0226628895184136,0.11898016997167139,0.10198300283286119,0.0028328611898017,0.0056657223796034,0.0056657223796034,0.0,0.019830028328611898,0.0028328611898017
138,Trevor Story,BOS,113,420,470,98,62,20,2,14,59,50,36,2,135,5,4,1,19,6,13,0.234,0.298924731,0.39047619,0.689400922,0.305454545,28.72340426,7.659574468,84,0.7380952380952381,0.23809523809523808,0.023809523809523808,0.029787234042553193,0.125531914893617,0.10638297872340426,0.00425531914893617,0.010638297872340425,0.00851063829787234,0.002127659574468085,0.04042553191489362,0.01276595744680851
230,Triston Casas,BOS,140,500,578,115,68,23,0,23,68,76,70,4,153,4,3,0,0,0,0,0.231,0.327556326,0.412,0.739556326,0.281345566,26.47058824,12.11072664,92,0.7391304347826086,0.25,0.0,0.039792387543252594,0.11764705882352941,0.1314878892733564,0.006920415224913495,0.006920415224913495,0.005190311418685121,0.0,0.0,0.0
153,Wilyer Abreu,BOS,119,412,466,98,56,23,2,18,60,58,47,1,125,4,2,0,9,3,6,0.238,0.320430108,0.436893204,0.757323311,0.295202952,26.82403433,10.08583691,80,0.7,0.2875,0.025,0.03862660944206009,0.12875536480686695,0.12446351931330472,0.002145922746781116,0.008583690987124463,0.004291845493562232,0.0,0.019313304721030045,0.006437768240343348
37,Dansby Swanson,CHC,149,556,623,137,88,27,1,21,76,76,53,0,155,4,4,1,15,5,10,0.247,0.314424635,0.411870504,0.726295139,0.302083333,24.87961477,8.507223114,116,0.7586206896551724,0.23275862068965517,0.008620689655172414,0.033707865168539325,0.12199036918138041,0.12199036918138041,0.0,0.006420545746388443,0.006420545746388443,0.0016051364365971107,0.024077046548956663,0.008025682182985553
67,Ian Happ,CHC,150,560,647,134,81,29,2,21,80,77,76,2,159,6,4,0,11,3,8,0.239,0.334365325,0.408928571,0.743293897,0.294270833,24.57496136,11.74652241,113,0.7168141592920354,0.25663716814159293,0.017699115044247787,0.03245749613601236,0.12364760432766615,0.11901081916537867,0.0030911901081916537,0.00927357032457496,0.0061823802163833074,0.0,0.017001545595054096,0.00463678516228748
22,Kyle Tucker,CHC,148,553,642,150,90,29,3,27,90,90,79,6,99,3,6,0,20,7,13,0.271,0.361934477,0.47920434,0.841138817,0.284064665,15.42056075,12.30529595,123,0.7317073170731707,0.23577235772357724,0.024390243902439025,0.04205607476635514,0.14018691588785046,0.14018691588785046,0.009345794392523364,0.004672897196261682,0.009345794392523364,0.0,0.03115264797507788,0.010903426791277258
149,Matt Shaw,CHC,116,431,473,105,72,18,2,13,55,52,33,1,103,5,3,1,15,2,13,0.244,0.302966102,0.385150812,0.688116914,0.289308176,21.77589852,6.976744186,92,0.782608695652174,0.1956521739130435,0.021739130434782608,0.02748414376321353,0.11627906976744186,0.10993657505285412,0.0021141649048625794,0.010570824524312896,0.006342494714587738,0.0021141649048625794,0.03171247357293869,0.004228329809725159
207,Michael Busch,CHC,141,510,578,117,70,24,2,20,65,72,57,1,162,7,4,0,3,1,2,0.229,0.313148789,0.4,0.713148789,0.292168675,28.02768166,9.861591696,97,0.7216494845360825,0.24742268041237114,0.020618556701030927,0.03460207612456748,0.11245674740484429,0.1245674740484429,0.0017301038062283738,0.012110726643598616,0.006920415224913495,0.0,0.005190311418685121,0.0017301038062283738
131,Nico Hoerner,CHC,128,493,540,133,104,22,3,4,63,46,33,0,61,9,4,1,25,7,18,0.27,0.324675325,0.350912779,0.675588104,0.298611111,11.2962963,6.111111111,129,0.8062015503875969,0.17054263565891473,0.023255813953488372,0.007407407407407408,0.11666666666666667,0.08518518518518518,0.0,0.016666666666666666,0.007407407407407408,0.001851851851851852,0.046296296296296294,0.012962962962962963
87,Seiya Suzuki,CHC,135,510,582,133,81,28,2,22,77,76,61,2,145,6,4,0,14,4,10,0.26,0.344234079,0.452941176,0.797175256,0.319884726,24.91408935,10.48109966,111,0.7297297297297297,0.25225225225225223,0.018018018018018018,0.037800687285223365,0.1323024054982818,0.13058419243986255,0.003436426116838488,0.010309278350515464,0.006872852233676976,0.0,0.024054982817869417,0.006872852233676976
129,Andrew Vaughn,CHW,142,546,601,140,86,28,0,25,69,81,40,0,120,9,5,1,1,0,1,0.256,0.315,0.443223443,0.758223443,0.283251232,19.96672213,6.655574043,115,0.7478260869565218,0.24347826086956523,0.0,0.04159733777038269,0.11480865224625623,0.13477537437603992,0.0,0.014975041597337771,0.008319467554076539,0.0016638935108153079,0.0016638935108153079,0.0
236,Lenyn Sosa,CHW,103,383,407,94,65,18,1,11,40,44,17,0,87,3,3,2,3,1,2,0.247,0.280788177,0.386422977,0.667211154,0.288194444,21.37592138,4.176904177,83,0.7831325301204819,0.21686746987951808,0.012048192771084338,0.02702702702702703,0.09828009828009827,0.10810810810810811,0.0,0.007371007371007371,0.007371007371007371,0.004914004914004914,0.007371007371007371,0.002457002457002457
105,Luis Robert Jr.,CHW,135,526,574,128,77,27,2,22,76,68,36,2,168,8,4,0,25,6,19,0.244,0.299651568,0.427756654,0.727408222,0.311764706,29.26829268,6.271777003,106,0.7264150943396226,0.25471698113207547,0.018867924528301886,0.03832752613240418,0.13240418118466898,0.11846689895470383,0.003484320557491289,0.013937282229965157,0.006968641114982578,0.0,0.04355400696864112,0.010452961672473868
283,Christian Encarnacion-Strand,CIN,95,361,393,94,58,18,1,17,47,57,23,1,103,5,3,0,2,1,1,0.259,0.31122449,0.457063712,0.768288202,0.31557377,26.2086514,5.852417303,77,0.7532467532467533,0.23376623376623376,0.012987012987012988,0.043256997455470736,0.11959287531806616,0.1450381679389313,0.002544529262086514,0.01272264631043257,0.007633587786259542,0.0,0.005089058524173028,0.002544529262086514
27,Elly De La Cruz,CIN,150,580,648,147,86,32,5,25,100,76,59,3,202,5,3,1,50,9,41,0.253,0.326120556,0.456896552,0.783017108,0.342696629,31.17283951,9.104938272,122,0.7049180327868853,0.26229508196721313,0.040983606557377046,0.038580246913580245,0.15432098765432098,0.11728395061728394,0.004629629629629629,0.007716049382716049,0.004629629629629629,0.0015432098765432098,0.07716049382716049,0.013888888888888888
274,Gavin Lux,CIN,107,372,415,94,63,19,2,10,48,46,38,1,91,2,2,0,6,2,4,0.252,0.323671498,0.39516129,0.718832788,0.307692308,21.92771084,9.156626506,84,0.75,0.2261904761904762,0.023809523809523808,0.024096385542168676,0.11566265060240964,0.1108433734939759,0.0024096385542168677,0.004819277108433735,0.004819277108433735,0.0,0.014457831325301205,0.004819277108433735
