#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
209,Nolan Gorman,STL,94,366,406,84,48,15,0,21,53,60,37,1,135,2,2,0,5,1,4,0.23,0.302211302,0.442622951,0.744834253,0.297169811,33.25123153,9.113300493
180,Willson Contreras,STL,139,516,602,123,73,27,0,23,71,74,63,1,153,20,3,0,6,3,3,0.238,0.342192691,0.424418605,0.766611296,0.29154519,25.41528239,10.46511628
67,Brandon Lowe,TBR,123,472,532,114,64,24,1,25,72,78,50,1,139,7,2,0,6,1,5,0.242,0.322033898,0.455508475,0.777542373,0.287096774,26.12781955,9.398496241
285,Christopher Morel,TBR,118,455,511,105,62,18,3,22,63,69,47,2,141,5,3,1,8,4,4,0.231,0.307843137,0.428571429,0.736414566,0.281355932,27.59295499,9.197651663
105,Ha-Seong Kim,TBR,100,376,434,92,63,17,2,9,51,44,48,2,75,3,3,3,17,4,13,0.244,0.33255814,0.369680851,0.702238991,0.281355932,17.28110599,11.05990783
202,Jonathan Aranda,TBR,83,312,357,81,53,15,1,12,49,48,35,1,89,7,3,0,1,1,0,0.26,0.344537815,0.429487179,0.774024995,0.322429907,24.92997199,9.803921569
246,Jose Caballero,TBR,70,267,301,60,40,13,1,6,36,30,22,1,76,9,2,1,27,9,18,0.224,0.303333333,0.348314607,0.65164794,0.288770053,25.24916944,7.3089701
85,Josh Lowe,TBR,126,496,546,130,81,30,2,17,66,68,46,3,163,1,3,0,27,1,26,0.261,0.324175824,0.433467742,0.757643566,0.354231975,29.85347985,8.424908425
107,Junior Caminero,TBR,146,584,630,150,99,23,3,25,73,90,38,3,135,5,3,0,4,3,1,0.257,0.306349206,0.434931507,0.741280713,0.292740047,21.42857143,6.031746032
89,Yandy Diaz,TBR,152,582,658,166,117,33,0,16,74,77,66,1,96,6,3,0,0,1,-1,0.285,0.362252664,0.424398625,0.786651289,0.317124736,14.58966565,10.03039514
131,Adolis Garcia,TEX,143,558,616,133,75,27,2,29,79,92,46,1,174,6,5,0,12,4,8,0.238,0.300813008,0.449820789,0.750633797,0.288888889,28.24675325,7.467532468
16,Corey Seager,TEX,126,482,546,136,81,26,1,28,74,83,55,9,93,5,4,0,1,1,0,0.281,0.358974359,0.514522822,0.873497181,0.295890411,17.03296703,10.07326007
119,Evan Carter,TEX,120,451,518,108,70,20,5,13,72,62,58,1,133,7,2,0,12,4,8,0.239,0.333976834,0.392461197,0.726438031,0.309446254,25.67567568,11.1969112
224,Jake Burger,TEX,143,567,616,137,75,27,2,33,73,100,34,1,166,11,4,0,1,1,0,0.242,0.295454545,0.470899471,0.766354016,0.279569892,26.94805195,5.519480519
144,Joc Pederson,TEX,105,387,455,97,54,17,2,23,62,67,52,3,111,12,4,0,4,2,2,0.249,0.353846154,0.480620155,0.834466309,0.287937743,24.3956044,11.42857143
126,Josh Jung,TEX,136,547,588,138,89,26,2,21,69,80,31,0,161,7,3,0,5,2,3,0.252,0.299319728,0.422303473,0.721623201,0.317934783,27.38095238,5.272108844
33,Marcus Semien,TEX,154,598,665,149,93,30,3,23,96,82,62,1,103,3,3,0,9,2,7,0.249,0.321321321,0.424749164,0.746070485,0.265263158,15.4887218,9.323308271
31,Wyatt Langford,TEX,144,557,623,150,89,32,5,24,89,91,58,2,124,5,3,0,20,4,16,0.27,0.341894061,0.473967684,0.815861745,0.305825243,19.90369181,9.309791332
58,Alejandro Kirk,TOR,110,384,436,101,73,18,0,9,36,49,43,1,52,4,5,0,0,0,0,0.263,0.339449541,0.377604167,0.717053708,0.280487805,11.9266055,9.862385321
21,Andres Gimenez,TOR,147,575,637,154,109,28,3,14,71,73,32,2,108,21,4,4,27,4,23,0.267,0.327531646,0.4,0.727531646,0.306345733,16.9544741,5.023547881
65,Anthony Santander,TOR,156,602,672,150,78,34,1,37,85,105,58,2,138,7,5,0,2,1,1,0.25,0.319940476,0.493355482,0.813295958,0.261574074,20.53571429,8.630952381
54,Bo Bichette,TOR,143,576,616,162,112,31,1,17,76,76,35,1,118,3,2,0,10,3,7,0.281,0.324675325,0.425347222,0.750022547,0.32731377,19.15584416,5.681818182
80,Daulton Varsho,TOR,131,510,567,114,63,24,4,23,75,74,49,1,141,4,2,1,12,3,9,0.223,0.295575221,0.421568627,0.717143849,0.261494253,24.86772487,8.641975309
319,Davis Schneider,TOR,41,151,175,33,18,8,1,6,21,21,20,0,51,2,1,0,2,0,2,0.219,0.316091954,0.40397351,0.720065464,0.284210526,29.14285714,11.42857143
161,George Springer,TOR,141,543,609,130,86,23,2,19,77,67,57,0,118,6,3,0,14,2,12,0.24,0.316912972,0.394106814,0.711019786,0.271393643,19.37602627,9.359605911
417,Orelvis Martinez,TOR,49,190,210,40,22,9,0,9,23,30,15,1,58,3,2,0,0,0,0,0.21,0.276190476,0.4,0.676190476,0.248,27.61904762,7.142857143
22,Vladimir Guerrero Jr.,TOR,156,591,672,172,107,34,0,30,92,100,72,8,95,6,3,0,4,2,2,0.291,0.37202381,0.499153976,0.871177786,0.302771855,14.13690476,10.71428571
109,CJ Abrams,WSN,139,547,602,138,87,29,4,18,83,70,35,2,118,14,4,2,31,8,23,0.252,0.311666667,0.418647166,0.730313833,0.289156627,19.6013289,5.813953488
163,Dylan Crews,WSN,136,531,588,130,84,26,5,15,69,69,40,0,130,12,5,0,27,7,20,0.246,0.30952381,0.397363465,0.706887275,0.294117647,22.10884354,6.802721088
71,James Wood,WSN,141,535,609,141,86,30,5,21,84,78,69,2,165,3,2,0,19,6,13,0.264,0.349753695,0.457943925,0.80769762,0.341880342,27.09359606,11.33004926
271,Josh Bell,WSN,134,515,581,129,84,23,1,20,62,68,58,2,114,4,4,0,0,1,-1,0.25,0.328743546,0.413592233,0.742335779,0.283116883,19.62134251,9.982788296
217,Keibert Ruiz,WSN,122,448,480,110,73,23,0,15,46,56,24,0,52,5,3,0,3,1,2,0.246,0.289583333,0.399553571,0.689136905,0.247395833,10.83333333,5
149,Luis Garcia Jr.,WSN,126,512,546,138,93,26,3,16,64,68,30,2,87,0,4,0,14,4,10,0.269,0.307692308,0.42578125,0.733473558,0.295399516,15.93406593,5.494505495
124,Nathaniel Lowe,WSN,144,551,623,153,111,22,2,18,70,72,66,1,129,4,2,0,3,1,2,0.277,0.357945425,0.422867514,0.780812939,0.332512315,20.70626003,10.59390048
