Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%,W%,L%,SV%,HLD%,BS%,H%,R%,ER%,HR%,IBB%,HBP%
Robert Suarez,SDP,0,65,65,270,3,3,0,28,4,0,54,28,26,7,0,3,66,24,9.11,3.37,3.56,1.21,24.44444444,8.888888889,0.046153846153846156,0.046153846153846156,0.4307692307692308,0.06153846153846154,0.0,0.2,0.1037037037037037,0.0962962962962963,0.025925925925925925,0.0,0.011111111111111112
Andres Munoz,SEA,0,64,64,264,3,3,0,26,4,0,44,19,17,5,0,3,85,25,12.01,3.57,2.39,1.08,32.1969697,9.46969697,0.046875,0.046875,0.40625,0.0625,0.0,0.16666666666666666,0.07196969696969698,0.06439393939393939,0.01893939393939394,0.0,0.011363636363636364
Collin Snider,SEA,0,65,65,282,3,3,0,3,12,0,56,30,27,7,0,3,64,29,8.86,4.0,3.77,1.31,22.69503546,10.28368794,0.046153846153846156,0.046153846153846156,0.046153846153846156,0.18461538461538463,0.0,0.19858156028368795,0.10638297872340426,0.09574468085106383,0.024822695035460994,0.0,0.010638297872340425
Camilo Doval,SFG,0,62,62,260,3,3,0,10,12,0,49,23,21,4,0,3,74,28,10.71,4.08,3.06,1.25,28.46153846,10.76923077,0.04838709677419355,0.04838709677419355,0.16129032258064516,0.1935483870967742,0.0,0.18846153846153846,0.08846153846153847,0.08076923076923077,0.015384615384615385,0.0,0.011538461538461539
Ryan Walker,SFG,0,68,68,280,4,3,0,28,5,0,56,26,24,6,0,3,77,23,10.2,3.1,3.11,1.17,27.5,8.214285714,0.058823529411764705,0.04411764705882353,0.4117647058823529,0.07352941176470588,0.0,0.2,0.09285714285714286,0.08571428571428572,0.02142857142857143,0.0,0.010714285714285714
Tyler Rogers,SFG,0,70,70,299,4,3,0,1,14,0,72,34,31,8,0,3,51,17,6.58,2.16,4.04,1.27,17.05685619,5.685618729,0.05714285714285714,0.04285714285714286,0.014285714285714285,0.2,0.0,0.2408026755852843,0.11371237458193979,0.10367892976588629,0.026755852842809364,0.0,0.010033444816053512
JoJo Romero,STL,0,61,61,257,3,3,0,1,12,0,56,27,25,6,0,3,59,20,8.72,3.02,3.62,1.25,22.95719844,7.782101167,0.04918032786885246,0.04918032786885246,0.01639344262295082,0.19672131147540983,0.0,0.2178988326848249,0.10505836575875487,0.09727626459143969,0.023346303501945526,0.0,0.011673151750972763
Matthew Liberatore,STL,5,65,85,360,3,3,4,2,12,0,80,42,38,9,0,4,75,31,7.92,3.3,4.06,1.31,20.83333333,8.611111111,0.046153846153846156,0.046153846153846156,0.03076923076923077,0.18461538461538463,0.0,0.2222222222222222,0.11666666666666667,0.10555555555555556,0.025,0.0,0.011111111111111112
Ryan Fernandez,STL,0,65,65,276,3,3,0,1,16,0,59,30,28,6,0,3,64,26,8.9,3.65,3.86,1.31,23.1884058,9.420289855,0.046153846153846156,0.046153846153846156,0.015384615384615385,0.24615384615384617,0.0,0.213768115942029,0.10869565217391304,0.10144927536231885,0.021739130434782608,0.0,0.010869565217391304
Ryan Helsley,STL,0,66,66,271,3,3,0,35,2,0,49,23,21,6,0,3,81,26,11.09,3.51,2.9,1.13,29.88929889,9.594095941,0.045454545454545456,0.045454545454545456,0.5303030303030303,0.030303030303030304,0.0,0.18081180811808117,0.08487084870848709,0.07749077490774908,0.02214022140221402,0.0,0.01107011070110701
Edwin Uceta,TBR,0,65,65,276,3,3,0,9,11,0,52,27,25,8,0,3,72,26,10.0,3.6,3.42,1.19,26.08695652,9.420289855,0.046153846153846156,0.046153846153846156,0.13846153846153847,0.16923076923076924,0.0,0.18840579710144928,0.09782608695652174,0.09057971014492754,0.028985507246376812,0.0,0.010869565217391304
Pete Fairbanks,TBR,0,60,60,250,3,3,0,22,7,0,46,22,21,6,0,3,68,23,10.22,3.51,3.08,1.16,27.2,9.2,0.05,0.05,0.36666666666666664,0.11666666666666667,0.0,0.184,0.088,0.084,0.024,0.0,0.012
Chris Martin,TEX,0,58,58,237,3,3,0,20,6,0,51,23,21,6,0,2,59,14,9.23,2.11,3.32,1.11,24.89451477,5.907172996,0.05172413793103448,0.05172413793103448,0.3448275862068966,0.10344827586206896,0.0,0.21518987341772153,0.0970464135021097,0.08860759493670886,0.02531645569620253,0.0,0.008438818565400843
Chad Green,TOR,0,63,63,266,3,3,0,5,12,0,57,31,28,9,0,3,60,21,8.62,3.02,4.0,1.23,22.55639098,7.894736842,0.047619047619047616,0.047619047619047616,0.07936507936507936,0.19047619047619047,0.0,0.21428571428571427,0.11654135338345864,0.10526315789473684,0.03383458646616541,0.0,0.011278195488721804
Jeff Hoffman,TOR,0,65,65,269,3,3,0,26,4,0,48,23,21,7,0,3,79,24,11.0,3.32,2.97,1.11,29.36802974,8.921933086,0.046153846153846156,0.046153846153846156,0.4,0.06153846153846154,0.0,0.17843866171003717,0.08550185873605948,0.07806691449814127,0.026022304832713755,0.0,0.011152416356877323
Jorge Lopez,WSN,0,60,60,257,3,3,0,14,8,0,58,30,28,6,0,3,53,23,7.94,3.48,4.13,1.35,20.62256809,8.949416342,0.05,0.05,0.23333333333333334,0.13333333333333333,0.0,0.22568093385214008,0.11673151750972763,0.10894941634241245,0.023346303501945526,0.0,0.011673151750972763
David Robertson,,0,65,65,272,3,3,0,0,0,0,51,26,24,7,0,3,78,28,10.81,3.84,3.33,1.2,28.67647059,10.29411765,0.046153846153846156,0.046153846153846156,0.0,0.0,0.0,0.1875,0.09558823529411764,0.08823529411764706,0.025735294117647058,0.0,0.011029411764705883
Kenley Jansen,,0,60,60,251,3,3,0,0,0,0,50,28,26,9,0,3,66,23,9.85,3.5,3.91,1.22,26.29482072,9.163346614,0.05,0.05,0.0,0.0,0.0,0.199203187250996,0.11155378486055777,0.10358565737051793,0.035856573705179286,0.0,0.01195219123505976
Kyle Finnegan,,0,65,65,275,3,3,0,0,0,0,60,31,29,7,0,3,62,25,8.57,3.45,3.98,1.3,22.54545455,9.090909091,0.046153846153846156,0.046153846153846156,0.0,0.0,0.0,0.21818181818181817,0.11272727272727273,0.10545454545454545,0.025454545454545455,0.0,0.01090909090909091
