#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
321,Prelander Berroa,CHW,2,2,4.03,34,0,0,1,,34,151,28,17,15,4,20,,2,38,9.95,5.32,1.43,24.90%,13.30%
322,Reiss Knehr,,0,0,3.56,1,0,0,0,,1.1,6,1,1,1,0,1,0,0,2,9.7,3.34,1.22,25.60%,8.80%
323,Ronan Kopp,LAD,1,1,3.84,16,0,0,1,,16,72,13,7,7,2,10,,1,20,11.26,5.81,1.44,27.80%,14.40%
324,Justin Hagenman,NYM,1,1,4.08,27,0,0,1,,27,113,25,13,12,4,7,,1,23,7.79,2.35,1.2,20.70%,6.20%
325,Steven Cruz,KCR,3,2,4.32,45,0,0,1,,45,194,43,24,22,5,19,,2,41,8.24,3.9,1.38,21.20%,10.00%
326,J.B. Bukauskas,MIL,0,0,3.63,1,0,0,0,,1,5,1,0,0,0,0,0,0,1,8.14,2.81,1.23,21.60%,7.40%
327,Bryan Hoeing,SDP,1,1,4.09,18,0,0,1,,18,77,17,9,8,2,6,,1,15,7.47,2.99,1.3,19.40%,7.80%
328,Max Lazar,PHI,2,2,4.39,38,0,0,1,,38,163,38,20,19,5,13,,2,32,7.67,2.97,1.32,19.90%,7.70%
329,Ben Heller,CHC,0,0,3.47,1,0,0,0,,1.1,5,1,1,0,0,1,0,0,1,10.78,3.85,1.31,26.50%,9.50%
330,Reggie Crawford,SFG,1,0,3.63,8,0,0,1,,8,36,7,4,3,1,4,,0,10,10.98,4.36,1.35,27.10%,10.80%
331,George Soriano,STL,3,2,4.25,50,0,0,4,,50,217,48,26,24,6,21,,2,47,8.39,3.72,1.37,21.50%,9.50%
332,Jesse Scholtens,TBR,2,2,4.34,34,0,0,1,,34,146,33,18,16,5,11,,2,29,7.69,2.95,1.31,19.90%,7.60%
333,John Rooney,TBR,0,0,3.61,1,0,0,0,,1,5,1,0,0,0,0,0,0,1,9.57,3.86,1.29,24.70%,10.00%
334,Trey Wingenter,,0,0,3.46,1,0,0,0,,1,5,1,0,0,0,1,0,0,1,10.89,4.11,1.33,26.70%,10.10%
335,Nate Lavender,NYM,0,0,3.79,1,0,0,0,,1.1,6,1,1,1,0,1,0,0,2,10,4.01,1.31,25.50%,10.20%
336,Luis Gastelum,STL,0,0,3.88,1,0,0,0,,1.1,6,1,1,1,0,0,0,0,1,8.77,3.08,1.27,23.10%,8.10%
337,Cam Booser,TBR,0,0,3.85,8,0,0,1,,8,35,7,4,3,1,4,,0,9,9.89,3.96,1.3,25.10%,10.10%
338,Gavin Hollowell,CHC,1,1,3.79,16,0,0,1,,16,70,14,7,7,2,8,,1,17,9.81,4.34,1.33,24.90%,11.00%
339,Micah Ashman,BAL,0,0,3.9,1,0,0,0,,1.1,5,1,1,1,0,0,0,0,1,8.47,2.94,1.15,24.20%,8.40%
340,Austin Warren,NYM,3,2,4.04,46,0,0,1,,46,198,42,23,21,6,17,,2,43,8.42,3.39,1.29,21.80%,8.80%
341,Codi Heuer,CLE,0,0,3.65,1,0,0,0,,1,5,1,0,0,0,0,0,0,1,9.64,3.48,1.29,24.60%,8.90%
342,Reed Garrett,NYM,0,0,3.43,1,0,0,0,,1,5,1,0,0,0,1,0,0,1,10.59,4.3,1.3,26.80%,10.90%
343,Connor Phillips,CIN,3,3,4.24,56,0,0,7,,56,246,48,29,26,8,29,,3,60,9.64,4.7,1.38,24.40%,11.90%
344,Landon Knack,LAD,1,1,5.08,14,2,0,1,,19,83,19,12,11,4,7,,1,16,7.55,3.48,1.36,19.50%,9.00%
345,Ryan Burr,,0,0,3.82,1,0,0,0,,1,4,1,0,0,0,0,0,0,1,9.87,3.51,1.28,25.50%,9.10%
346,David Robertson,,0,0,3.72,1,0,0,0,,1,4,1,0,0,0,0,0,0,1,9.99,3.59,1.27,25.90%,9.30%
347,Zach Franklin,CHW,0,0,3.92,1,0,0,0,,1.1,5,1,1,1,0,1,0,0,1,9.36,3.93,1.25,25.60%,10.70%
348,Nigel Belgrave,MIA,0,0,3.89,1,0,0,0,,1.2,6,1,1,1,0,1,0,0,2,8.82,4,1.28,23.90%,10.80%
349,T.J. Brock,TOR,0,0,3.75,1,0,0,0,,1,5,1,1,0,0,1,0,0,1,10.38,4.21,1.33,26.30%,10.70%
350,Ray Kerr,ATL,0,0,3.78,1,0,0,0,,1.1,6,1,1,1,0,1,0,0,2,10.41,3.83,1.31,26.50%,9.70%
351,Kervin Castro,NYY,1,1,4.01,18,0,0,1,,18,79,16,9,8,2,8,,1,18,8.92,4.05,1.35,22.60%,10.30%
352,Peyton Gray,TEX,0,0,3.97,1,0,0,0,,1.2,7,1,1,1,0,1,0,0,2,9.01,3.39,1.26,23.80%,9.00%
353,William Kempner,MIA,1,1,4.03,24,0,0,1,,24,108,22,12,11,3,13,,1,26,9.84,4.8,1.43,24.30%,11.90%
354,Joe Kelly,,0,0,3.55,1,0,0,0,,1,4,1,0,0,0,0,0,0,1,10.31,4.67,1.37,25.80%,11.70%
355,Shelby Miller,CHC,0,0,3.6,1,0,0,0,,1,4,1,0,0,0,0,0,0,1,9.59,3.28,1.18,26.00%,8.90%
356,Packy Naughton,STL,0,0,3.95,1,0,0,0,,1.1,6,1,1,1,0,0,0,0,1,8.36,3,1.32,21.30%,7.60%
357,Jake Cousins,,0,0,3.59,1,0,0,0,,1,4,1,0,0,0,0,0,0,1,10.41,4.4,1.32,26.20%,11.10%
358,Trent Harris,SFG,0,0,3.98,1,0,0,0,,1.2,7,1,1,1,0,1,0,0,1,8.16,3.24,1.25,22.40%,8.90%
359,Nick Burdi,NYM,0,0,3.73,8,0,0,1,,8,35,7,4,3,1,4,,0,9,9.83,4.39,1.33,25.00%,11.10%
360,Luis Ortiz,,0,0,3.82,1,0,0,0,,1.1,6,1,1,1,0,0,0,0,1,8.03,2.91,1.27,20.50%,7.40%
361,Kodi Whitley,TBR,0,0,3.96,1,0,0,0,,1.1,6,1,1,1,0,0,0,0,1,8.9,2.98,1.26,22.90%,7.70%
362,Julian Aguiar,CIN,1,1,5.15,28,2,0,1,,33,143,35,21,19,5,11,,1,23,6.1,2.99,1.38,15.80%,7.80%
363,Jack Neely,CHC,1,1,3.91,18,0,0,1,,18,79,16,9,8,2,8,,1,20,10.04,4.23,1.33,25.40%,10.70%
364,Hunter Stratton,ATL,2,1,4.13,30,0,0,1,,30,129,28,15,14,4,11,,1,28,8.5,3.23,1.3,22.00%,8.40%
365,Jose Castillo,,0,0,3.61,1,0,0,0,,1,5,1,0,0,0,0,0,0,1,9.76,4.03,1.38,23.60%,9.80%
366,Ruddy Gomez,MIN,0,0,4.24,1,0,0,0,,1.2,6,1,1,1,0,1,0,0,1,7.18,3.21,1.2,21.00%,9.40%
367,Keone Kela,,0,0,4.03,1,0,0,0,,1.1,5,1,1,1,0,1,0,0,1,9.51,3.97,1.36,23.90%,10.00%
368,Dedniel Nunez,NYM,0,0,3.69,1,0,0,0,,1.1,5,1,1,0,0,1,0,0,1,9.8,4.02,1.3,24.90%,10.20%
369,Alfredo Zarraga,TBR,0,0,3.91,1,0,0,0,,1.1,6,1,1,1,0,1,0,0,1,9.4,4.24,1.34,24.00%,10.80%
370,Jayvien Sandridge,LAA,2,1,4.03,28,0,0,1,,28,127,24,14,13,4,17,,2,34,10.82,5.39,1.44,26.50%,13.20%
371,Andre Granillo,WSN,2,2,4.23,42,0,0,1,,42,182,38,22,20,6,19,,2,43,9.31,3.98,1.34,23.90%,10.20%
372,Daniel Robert,PHI,0,0,3.98,1,0,0,0,,1,5,1,1,1,0,0,0,0,1,9.56,3.53,1.3,24.40%,9.00%
373,Bailey Horn,DET,2,2,4.06,42,0,0,1,,42,185,38,21,19,5,19,,2,42,9.03,4.18,1.37,22.80%,10.50%
374,Emmanuel Ramirez,,0,0,4.12,1,0,0,0,,1.1,6,1,1,1,0,1,0,0,1,8.72,3.5,1.3,22.60%,9.10%
375,Daniel Hudson,,0,0,3.96,1,0,0,0,,1,4,1,0,0,0,0,0,0,1,8.66,3.2,1.17,24.10%,8.90%
376,Jesus Tinoco,MIA,0,0,4.08,1,0,0,0,,1,5,1,1,1,0,0,0,0,1,7.97,3.36,1.28,21.40%,9.00%
377,Jose Espada,BAL,1,1,4.15,11,0,0,1,,11,48,10,6,5,2,5,,1,13,10.45,4.29,1.35,26.60%,10.90%
378,Eric Loomis,TEX,0,0,3.99,1,0,0,0,,1.1,6,1,1,1,0,1,0,0,1,10.04,4.43,1.34,25.80%,11.40%
379,Carlos Hernandez,CLE,1,1,3.99,18,0,0,1,,18,78,16,9,8,2,8,,1,18,8.94,3.97,1.33,22.90%,10.20%
380,Michael Rucker,SEA,0,0,3.64,1,0,0,0,,1.1,6,1,1,1,0,0,0,0,1,9.08,3.47,1.3,22.80%,8.70%
381,Fraser Ellard,,0,0,3.98,1,0,0,0,,1,5,1,0,0,0,1,0,0,1,9.94,4.95,1.45,24.40%,12.10%
382,Nolan Hoffman,PHI,1,1,4.24,12,0,0,1,,12,53,11,6,6,1,5,,1,12,8.75,4.11,1.41,22.00%,10.30%
383,Trevor Brigden,,0,0,4.07,1,0,0,0,,1.1,6,1,1,1,0,1,0,0,2,9.21,3.38,1.26,23.90%,8.80%
