#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
146,Johan Oviedo,BOS,7,6,4.25,55,15,0,1,,115.0,492,106,59,54,14,47,,7,111,8.74,3.73,1.34,22.6%,9.6%,6
147,Logan Allen,CLE,7,8,4.30,29,21,0,1,,121.0,529,123,63,58,17,47,,4,100,7.40,3.46,1.40,18.9%,8.8%,10
148,Lucas Giolito,,7,8,4.68,24,24,0,0,,133.0,578,133,74,69,21,51,,4,119,8.04,3.47,1.39,20.5%,8.9%,11
149,Michael Lorenzen,COL,7,10,5.08,26,26,0,0,,143.0,627,155,87,81,24,52,,6,114,7.15,3.29,1.45,18.1%,8.3%,11
150,Lance McCullers Jr.,HOU,7,6,4.39,33,19,0,1,,109.0,481,103,58,53,14,53,,7,105,8.68,4.33,1.43,21.9%,10.9%,8
151,Jose Berrios,TOR,8,9,4.40,51,19,0,1,,142.0,611,144,75,69,22,43,,7,118,7.47,2.70,1.31,19.3%,7.0%,8
152,Miles Mikolas,WSN,7,10,4.76,26,26,0,0,,141.0,603,156,80,75,23,32,,5,93,5.95,2.05,1.33,15.4%,5.3%,11
153,Chris Paddack,MIA,6,9,4.82,41,21,0,1,,133.0,570,143,77,71,23,34,,3,103,6.91,2.28,1.32,18.0%,5.9%,8
154,Patrick Sandoval,BOS,5,5,4.00,40,10,0,1,,82.0,357,80,39,36,8,34,,3,76,8.33,3.70,1.39,21.2%,9.4%,4
155,Robert Gasser,MIL,5,5,4.07,37,11,0,1,,84.0,360,80,41,38,11,26,,6,78,8.30,2.82,1.26,21.6%,7.4%,5
156,David Festa,MIN,4,4,4.12,28,10,0,1,,67.0,286,63,33,31,9,23,,3,68,9.11,3.12,1.28,23.8%,8.1%,4
157,Jacob Latz,TEX,4,5,4.41,51,11,0,1,,111.0,481,101,59,54,14,54,,3,107,8.65,4.36,1.39,22.2%,11.2%,4
158,Ian Seymour,TBR,5,6,4.16,41,11,0,1,,95.0,400,88,47,44,14,28,,6,91,8.60,2.66,1.22,22.7%,7.0%,5
159,Kyle Harrison,MIL,5,5,4.25,31,15,0,1,,89.0,385,83,45,42,12,35,,5,89,8.97,3.55,1.33,23.1%,9.2%,6
160,Patrick Corbin,,5,7,4.86,19,19,0,0,,105.0,459,113,61,57,16,36,,3,84,7.23,3.06,1.42,18.3%,7.7%,8
161,Alek Manoah,LAA,5,7,4.74,19,19,0,0,,104.0,452,102,59,55,15,42,,8,88,7.61,3.67,1.39,19.4%,9.3%,8
162,Mick Abel,MIN,6,8,4.51,40,18,0,1,,114.0,500,111,62,57,14,51,,5,103,8.13,4.06,1.43,20.5%,10.3%,7
163,Tomoyuki Sugano,COL,6,9,5.17,21,21,0,0,,116.0,507,138,72,67,21,27,,4,74,5.73,2.11,1.43,14.6%,5.4%,8
164,Michael Soroka,ARI,6,6,4.08,52,11,2,1,,101.0,431,91,49,46,12,37,,8,101,9.00,3.30,1.27,23.5%,8.6%,5
165,Andrew Alvarez,WSN,4,5,4.37,35,13,0,1,,90.0,392,93,47,44,10,35,,4,65,6.54,3.50,1.42,16.6%,8.9%,5
166,Janson Junk,MIA,5,6,4.35,48,10,0,1,,93.0,396,99,49,45,12,20,,3,68,6.52,1.89,1.27,17.1%,4.9%,4
167,Ryan Feltner,COL,5,7,5.15,34,16,0,1,,101.0,450,109,62,58,15,42,,4,84,7.42,3.73,1.49,18.6%,9.3%,5
168,Rhett Lowder,CIN,4,6,4.59,35,13,0,1,,89.0,382,91,49,45,13,28,,4,69,7.02,2.85,1.35,18.2%,7.4%,5
169,Hunter Barco,PIT,4,4,4.16,41,11,0,1,,85.0,371,82,42,39,10,35,,6,78,8.23,3.70,1.37,20.9%,9.4%,5
170,Joe Boyle,TBR,4,4,4.10,21,11,0,1,,67.0,292,56,33,31,8,36,,4,74,9.98,4.89,1.38,25.5%,12.5%,5
171,Andrew Painter,PHI,5,7,4.73,31,18,0,1,,104.0,453,105,59,55,17,40,,2,90,7.81,3.46,1.39,20.0%,8.8%,7
172,Chase Dollander,COL,5,9,5.27,23,23,0,0,,114.0,506,118,71,67,18,51,,8,98,7.71,4.02,1.49,19.3%,10.0%,9
173,Jon Gray,,3,3,4.46,10,10,0,0,,52.0,223,52,28,26,7,17,,2,45,7.77,2.87,1.31,20.2%,7.5%,5
174,Ryan Weiss,HOU,5,6,4.24,44,10,0,1,,90.0,387,85,46,42,12,34,,6,88,8.82,3.37,1.32,22.8%,8.7%,4
175,German Marquez,SDP,7,10,5.02,24,24,0,0,,127.0,557,138,76,71,20,44,,4,93,6.62,3.11,1.44,16.7%,7.9%,10
176,Jonathan Cannon,CHW,5,8,4.80,46,15,0,1,,111.0,483,116,64,59,17,38,,5,83,6.79,3.12,1.40,17.3%,7.9%,5
177,Max Scherzer,TOR,4,4,4.19,28,10,0,1,,69.0,288,65,35,32,12,18,,3,69,8.94,2.39,1.20,23.8%,6.4%,4
178,Hurston Waldrep,ATL,5,5,4.29,13,13,0,0,,70.0,306,68,36,33,8,31,,3,62,8.00,3.93,1.41,20.4%,10.0%,6
179,Brandon Sproat,MIL,4,4,4.20,28,10,0,1,,69.0,295,65,35,32,8,26,,4,59,7.73,3.37,1.33,19.9%,8.7%,4
180,Luis Gil,NYY,5,6,4.40,51,11,0,1,,99.0,425,86,52,48,14,47,,4,101,9.19,4.29,1.34,23.8%,11.1%,4
181,Corbin Burnes,ARI,3,2,3.51,6,6,0,0,,39.0,162,35,16,15,4,12,,2,37,8.64,2.80,1.21,23.1%,7.5%,4
182,Randy Vasquez,SDP,7,8,4.79,37,23,0,1,,131.0,571,135,75,70,19,47,,8,89,6.16,3.27,1.40,15.7%,8.3%,9
183,Richard Fitts,STL,6,7,4.41,35,19,0,1,,115.0,491,118,61,56,16,35,,5,86,6.79,2.71,1.33,17.6%,7.0%,8
184,Hunter Dobbins,STL,5,6,4.45,37,15,0,1,,100.0,433,104,53,49,13,32,,5,71,6.39,2.90,1.36,16.4%,7.4%,6
