Unnamed: 0,#,Name,Team,G,AB,PA,HIP,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_HIP,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%
20,22,Trea Turner,PHI,146,583.7405660377359,639.0,139.6556603773585,0.25471698113207547,0.762589928057554,0.2158273381294964,0.021582733812949645,0.036163522012578615,0.13679245283018868,0.12735849056603774,0.06132075471698113,0.0,0.1949685534591195,0.009433962264150945,0.006289308176100629,0.0015723270440251573,0.03773584905660378,0.007861635220125786,0.02987421383647799,0.278,0.3285714285714285,0.459552496,0.7881239242685025,0.317351598,19.49685534591195,6.132075471698113,589,639,164,0.28012519561815336,0.7682926829268293,0.18902439024390244,0.042682926829268296,0.023474178403755867,0.14710485133020346,0.107981220657277,0.06729264475743349,0.001564945226917058,0.1674491392801252,0.00782472613458529,0.003129890453834116,0.0,0.056338028169014086,0.010954616588419406,0.04538341158059468,0.304,0.355,0.457,0.812,0.35,16.7,6.7
21,23,Austin Riley,ATL,150,398.7873651771957,447.0,85.40523882896764,0.23728813559322035,0.7338709677419355,0.25,0.016129032258064516,0.046224961479198766,0.13559322033898305,0.14329738058551617,0.08320493066255778,0.0015408320493066256,0.2403697996918336,0.015408320493066254,0.007704160246533127,0.0,0.0015408320493066256,0.0015408320493066256,0.0,0.266,0.3364197530864197,0.4818652849740932,0.818285038,0.3115577889447236,24.03697996918336,8.320493066255779,416,447,92,0.24161073825503357,0.7717391304347826,0.21739130434782608,0.010869565217391304,0.035794183445190156,0.12080536912751678,0.12080536912751678,0.06040268456375839,0.0022371364653243847,0.28635346756152125,0.006711409395973154,0.0022371364653243847,0.0,0.0044742729306487695,0.0022371364653243847,0.0022371364653243847,0.26,0.309,0.428,0.737,0.337,28.6,6.0
22,24,Rafael Devers,BOS,145,642.0763116057233,728.9999999999999,135.60095389507154,0.23688394276629574,0.717948717948718,0.2649572649572649,0.017094017094017096,0.05087440381558029,0.13513513513031553,0.1573926868044515,0.10174880763116058,0.015898251192368842,0.21303656597774245,0.011128775834658187,0.006359300476947536,0.0,0.004769475357710652,0.0015898251192368843,0.0031796502384737685,0.27,0.3497615262321145,0.5054151624548736,0.855176689,0.298469387755102,21.303656597774246,10.174880763116056,607,729,118,0.20987654320987653,0.7203389830508474,0.2796610169491525,0.0,0.04801097393689986,0.13580246913580246,0.149519890260631,0.15363511659807957,0.013717421124828532,0.26337448559670784,0.00823045267489712,0.0054869684499314125,0.0,0.0013717421124828531,0.0013717421124828531,0.0,0.252,0.372,0.479,0.851,0.307,26.3,15.4
23,25,Bryce Harper,PHI,144,496.34615384615387,580.0,113.39743589743591,0.2387820512820513,0.7131147540983606,0.2704918032786885,0.00819672131147541,0.04326923076923077,0.14102564101724138,0.14423076923076925,0.12820512820512822,0.014423076923076922,0.21314102564102566,0.008012820512820514,0.00641025641025641,0.0016025641025641027,0.014423076923076922,0.008012820512820514,0.00641025641025641,0.279,0.3756019261637239,0.4943820224719101,0.869983949,0.3227513227513227,21.31410256410256,12.82051282051282,501,580,104,0.22586206896551725,0.6923076923076923,0.3076923076923077,0.0,0.04655172413793104,0.12413793103448276,0.12931034482758622,0.1206896551724138,0.010344827586206896,0.20862068965517241,0.010344827586206896,0.005172413793103448,0.0,0.020689655172413793,0.0034482758620689655,0.017241379310344827,0.261,0.357,0.487,0.844,0.292,20.9,12.1
24,26,Patrick Bailey,SFG,113,407.8511627906977,452.0,84.093023256093,0.20697674418604645,0.7624999999974698,0.22499999999925335,0.01249999999995852,0.020930232557522122,0.09767441860465115,0.09534883720930232,0.08139534882743363,0.002325581395348837,0.23720930232558143,0.0069767441860465115,0.009302325581395349,0.002325581395348837,0.004651162790697674,0.002325581395348837,0.002325581395348837,0.229,0.2953488372093023,0.3505154639175257,0.6458643011268281,0.2846975088967972,23.72093023255814,8.139534884,409,452,85,0.2013274336283186,0.7529411764705882,0.21176470588235294,0.03529411764705882,0.01327433628318584,0.10398230088495575,0.12168141592920353,0.06637168141592921,0.0,0.2942477876106195,0.00663716814159292,0.01327433628318584,0.008849557522123894,0.0022123893805309734,0.0,0.0022123893805309734,0.222,0.277,0.325,0.602,0.308,29.4,6.6000000000000005
25,27,Willy Adames,SFG,150,606.9283489096573,686.0,119.67601246105917,0.21651090342679127,0.7321428571428572,0.25892857142857145,0.008928571428571428,0.042056074766355145,0.12616822429906543,0.1292834890965732,0.09813084112244896,0.003115264797507788,0.24454828660436137,0.004672897196261682,0.00778816199376947,0.0,0.020249221183800622,0.004672897196261682,0.01557632398753894,0.244,0.3208137715179969,0.4419014084507042,0.7627151799687011,0.2879177377892031,24.45482866043614,9.813084112149532,591,686,103,0.19387755102040816,0.7669902912621359,0.21359223300970873,0.019417475728155338,0.043731778425655975,0.13702623906705538,0.12682215743440234,0.11661807580174927,0.0029154518950437317,0.260932944606414,0.007288629737609329,0.013119533527696793,0.0,0.01749271137026239,0.0058309037900874635,0.011661807580174927,0.225,0.318,0.421,0.74,0.263,26.1,11.7
26,28,Manny Machado,SDP,149,613.8359621451104,678.0,130.46687697160883,0.2381703470031546,0.778688524590164,0.21311475409836067,0.008196721311475409,0.04574132492113565,0.12933753943217666,0.14037854889589907,0.0804416403785489,0.006309148264984227,0.19242902208201892,0.0031545741324921135,0.007886435331230283,0.0015772870662460565,0.014195583596214511,0.0031545741324921135,0.011041009463722398,0.263,0.3227848101265823,0.4634146341463415,0.7861994442729238,0.2850467289719626,19.242902208201897,8.044164038,615,678,142,0.24926253687315633,0.7676056338028169,0.2323943661971831,0.0,0.03982300884955752,0.13421828908554573,0.140117994100295,0.08112094395280237,0.0058997050147492625,0.19321533923303835,0.004424778761061947,0.007374631268436578,0.0,0.02064896755162242,0.004424778761061947,0.016224188790560472,0.275,0.335,0.46,0.795,0.307,19.3,8.1
27,29,Will Smith,LAD,123,377.92445328031806,436.0,78.87872762934393,0.21868787275229357,0.7362637363090152,0.23076923078342265,0.02197802197937359,0.03777335984095427,0.1272365805168986,0.13320079522862824,0.09940357852882703,0.005964214711729622,0.18091451292246521,0.019880715705765408,0.011928429424311927,0.0,0.003976143141153082,0.0019880715705765406,0.0019880715705765406,0.252,0.3386454183266932,0.4380733944954128,0.7767188128221061,0.2740963855421687,18.09145129224652,9.940357852882704,362,436,90,0.24541284403669725,0.7666666666666667,0.2222222222222222,0.011111111111111112,0.0389908256880734,0.14678899082568808,0.13990825688073394,0.14678899082568808,0.0022935779816513763,0.20412844036697247,0.011467889908256881,0.011467889908256881,0.0,0.0045871559633027525,0.006880733944954129,-0.0022935779816513763,0.296,0.404,0.497,0.901,0.345,20.4,14.7
28,30,Isaac Paredes,HOU,141,379.010101,438.0,73.00000000000001,0.20875420875420878,0.7777777777777777,0.22222222222222215,0.010101010101010098,0.04208754208754208,0.12457912457912457,0.12457912457912457,0.10606060606060606,0.0016835016835016834,0.1616161616161616,0.0202020202020202,0.008417508417508417,0.0,0.0016835016835016834,0.0,0.0016835016835016834,0.242,0.335016835,0.4357976653696498,0.7708145003864848,0.2487437185929648,16.161616161616163,10.606060606060606,378,438,76,0.2191780821917808,0.7894736842105263,0.19736842105263158,0.013157894736842105,0.045662100456621,0.12100456621004566,0.12100456621004566,0.1141552511415525,0.0,0.1735159817351598,0.0182648401826484,0.0045662100456621,0.0,0.0,0.00228310502283105,-0.00228310502283105,0.254,0.352,0.458,0.809,0.268,17.4,11.4
29,31,Freddie Freeman,LAD,146,544.3186813186813,627.0,133.86499215070646,0.24646781789638936,0.7426470588235293,0.24264705882352938,0.014705882352941175,0.03296703296703297,0.13657770800637958,0.13029827315541603,0.10989010988835725,0.014128728414442699,0.1585557299843014,0.012558869701726845,0.007849293563579279,0.0015698587127158557,0.021978021978021976,0.0047095761381475655,0.017268445839874413,0.284,0.3694968553459119,0.4647377938517179,0.8342346491976298,0.3119266055045872,15.855572998430144,10.989010989010987,556,627,140,0.26156299840510366,0.7071428571428572,0.2785714285714286,0.014285714285714285,0.03827751196172249,0.1291866028708134,0.14354066985645933,0.09569377990430622,0.011164274322169059,0.20414673046251994,0.009569377990430622,0.007974481658692184,0.0,0.009569377990430622,0.003189792663476874,0.006379585326953748,0.295,0.367,0.502,0.869,0.342,20.4,9.6
