#,Name,Team,G,AB,PA,HIP,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_HIP,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62
11,Bobby Witt Jr.,KCR,152,651.805175,709,150.00152206,0.25418569252468265,0.7122302156191868,0.24460431658369264,0.050359712236642616,0.04261796042313117,0.15677321156558532,0.1263318112693935,0.060882800606488006,0.0015220700155148096,0.18417047179125529,0.00913242009167842,0.00761035007616361,0.0015220700155148096,0.07001522070521861,0.015220700155148096,0.05479452055007052,0.277,0.32519084,0.496688742,0.821879581,0.302173913,18.41704718,6.088280061,636,709,179,0.29760225669957685,0.6871508379888268,0.25139664804469275,0.061452513966480445,0.045133991537376586,0.1763046544428773,0.153737658674189,0.08039492242595205,0.012693935119887164,0.14950634696755993,0.011283497884344146,0.011283497884344146,0.0,0.04372355430183357,0.01692524682651622,0.02679830747531735,0.332,0.389,0.588,0.977,0.354,15.0,8.0,,,,,,,,,
12,Jose Ramirez,CLE,151,597.7896341,682,138.2713415,0.2454268293255132,0.6917293231005501,0.2706766916700522,0.030075187959321275,0.042682926832844574,0.14481707316715542,0.14481707316715542,0.10518292683284457,0.021341463416422287,0.1097560975659824,0.007621951219941349,0.00914634146334311,0.0015243902434017595,0.045731707316715546,0.013719512195014662,0.03201219511730205,0.279,0.358778626,0.500869565,0.859648191,0.276507277,10.97560976,10.51829268,620,682,134,0.2536656891495601,0.6940298507462687,0.291044776119403,0.014925373134328358,0.05718475073313783,0.16715542521994134,0.17302052785923755,0.07917888563049853,0.017595307917888565,0.12023460410557185,0.001466275659824047,0.008797653958944282,0.0,0.060117302052785926,0.010263929618768328,0.04985337243401759,0.279,0.335,0.537,0.872,0.265,12.0,7.9,,,,,,,,,
13,Francisco Lindor,NYM,153,607.754977,689,125.56049008,0.22511485457184324,0.7478991594423379,0.23529411760957983,0.016806722685260806,0.042879019912917274,0.13782542113207547,0.12863705972423803,0.09188361409288824,0.0030627871364296085,0.1944869831640058,0.012251148545718434,0.0076569678403483315,0.0015313935674891148,0.033690658505079824,0.009188361409288824,0.024502297097242384,0.256,0.331278891,0.456597222,0.787876113,0.279342723,19.44869832,9.188361409,618,689,136,0.24528301886792453,0.7058823529411765,0.2867647058823529,0.007352941176470588,0.047895500725689405,0.15529753265602322,0.1320754716981132,0.08127721335268505,0.0,0.18432510885341075,0.01741654571843251,0.0043541364296081275,0.0,0.0420899854862119,0.005805515239477504,0.036284470246734396,0.273,0.344,0.5,0.844,0.295,18.4,8.1,,,,,,,,,
14,Alex Bregman,HOU,149,539.6779141,634,119.60429449,0.22546012271293375,0.7317073169752869,0.25203252030820955,0.00813008129972541,0.03680981594637224,0.1349693251577287,0.1273006135015773,0.1273006135015773,0.001533742331230284,0.11656441717665615,0.012269938649842271,0.009202453987381704,0.001533742331230284,0.003067484662460568,0.001533742331230284,0.001533742331230284,0.264,0.365030675,0.452252252,0.817282927,0.26681128,11.65644172,12.73006135,581,634,125,0.23817034700315456,0.744,0.24,0.016,0.04100946372239748,0.12460567823343849,0.11829652996845426,0.0694006309148265,0.0015772870662460567,0.13564668769716087,0.007886435331230283,0.006309148264984227,0.0,0.00473186119873817,0.0015772870662460567,0.0031545741324921135,0.26,0.315,0.453,0.768,0.264,13.6,6.9,,,,,,,,,
15,Pete Alonso,NYM,152,602.7623457,695,109.39814810000001,0.2222222221582734,0.7450980395526456,0.23529411774384504,0.009803921571136723,0.06481481482014388,0.1388888888920863,0.16666666661870505,0.10185185185611512,0.01234567901294964,0.21141975309352518,0.02314814814388489,0.0077160493827338125,0.0015432098762589927,0.0077160493827338125,0.0015432098762589927,0.00617283950647482,0.256,0.347222222,0.524911032,0.872133254,0.262886598,21.14197531,10.18518519,608,695,112,0.21007194244604316,0.7232142857142857,0.2767857142857143,0.0,0.04892086330935252,0.13093525179856116,0.12661870503597122,0.10071942446043165,0.0057553956834532375,0.2474820143884892,0.01870503597122302,0.0057553956834532375,0.0,0.004316546762589928,0.0,0.004316546762589928,0.24,0.329,0.459,0.788,0.276,24.7,10.1,,,,,,,,,
16,Kyle Schwarber,PHI,148,574.5308642,692,85.43209878,0.18672839508670522,0.7374999998800216,0.2374999999970737,0.024999999994147398,0.06327160494219652,0.1435185185115607,0.1651234567919075,0.15277777774566476,0.004629629630057803,0.2901234567919075,0.01080246913583815,0.004629629630057803,0.0,0.004629629630057803,0.00154320987716763,0.003086419752890174,0.226,0.350850077,0.496282528,0.847132605,0.256410256,29.01234568,15.27777778,573,692,104,0.20520231213872833,0.7884615384615384,0.21153846153846154,0.0,0.05491329479768786,0.15895953757225434,0.15028901734104047,0.1531791907514451,0.005780346820809248,0.2846820809248555,0.0072254335260115606,0.011560693641618497,0.0,0.0072254335260115606,0.004335260115606936,0.002890173410404624,0.248,0.366,0.485,0.851,0.301,28.5,15.3,,,,,,,,,
17,Fernando Tatis Jr.,SDP,148,387.3055556,438,83.81481482,0.2438271605022831,0.709677419293259,0.2580645161174861,0.024193548388251395,0.052469135799086755,0.15895061728310503,0.14814814815068494,0.09722222221461188,0.0030864197534246577,0.22685185184931506,0.009259259260273973,0.006172839506849315,0.0015432098767123288,0.04938271605022831,0.012345679011415525,0.03703703703196347,0.275,0.351393189,0.518324607,0.869717796,0.313131313,22.68518519,9.722222222,398,438,89,0.2511415525114155,0.7528089887640449,0.23595505617977527,0.011235955056179775,0.04794520547945205,0.1461187214611872,0.11187214611872145,0.0730593607305936,0.0,0.2191780821917808,0.01598173515981735,0.00228310502283105,0.0,0.02511415525114155,0.00684931506849315,0.0182648401826484,0.276,0.34,0.492,0.833,0.316,21.9,7.3,,,,,,,,,
18,Rafael Devers,BOS,149,533.9116279,601,119.26821710000002,0.2527131783693844,0.7187499997432257,0.26562499993973665,0.015624999990043447,0.05426356589018303,0.13953488372712147,0.1612403100831947,0.09147286821963395,0.010852713178036604,0.1813953489184692,0.012403100775374376,0.006201550387687188,0.0,0.007751937985024959,0.003100775193011647,0.004651162790349418,0.284,0.357142857,0.534031414,0.891174271,0.301176471,18.13953488,9.147286822,525,601,115,0.23793677204658903,0.6608695652173913,0.2956521739130435,0.043478260869565216,0.04658901830282862,0.1447587354409318,0.13810316139767054,0.11148086522462562,0.02329450915141431,0.24459234608985025,0.004991680532445923,0.009983361064891847,0.0,0.004991680532445923,0.0,0.004991680532445923,0.272,0.354,0.516,0.871,0.323,24.5,11.1,,,,,,,,,
19,Nathaniel Lowe,TEX,151,493.1705426,565,116.50387596000002,0.23875968991150445,0.7669172932982649,0.21804511284003805,0.015037593981864633,0.03255813953982301,0.13178294573451327,0.11937984495575223,0.11162790697345133,0.003100775192920354,0.22170542637168142,0.007751937984070797,0.00620155038761062,0.001550387596460177,0.004651162791150442,0.001550387596460177,0.003100775192920354,0.274,0.358695652,0.444049734,0.802745386,0.330024814,22.17054264,11.1627907,486,565,113,0.22831858407079647,0.8495575221238938,0.1415929203539823,0.008849557522123894,0.02831858407079646,0.10973451327433628,0.12212389380530973,0.1256637168141593,0.0017699115044247787,0.22123893805309736,0.007079646017699115,0.007079646017699115,0.0,0.0035398230088495575,0.0,0.0035398230088495575,0.265,0.361,0.401,0.762,0.324,22.1,12.6,,,,,,,,,
20,Paul Goldschmidt,STL,147,569.8418605,654,125.7302326,0.23255813960244648,0.7580645159006888,0.23387096764187487,0.016129032254729166,0.040310077522935785,0.1348837209327217,0.13178294573394495,0.11472868217125383,0.003100775194189603,0.2232558139143731,0.006201550386850154,0.006201550386850154,0.0015503875963302754,0.013953488371559632,0.004651162790519878,0.009302325581039756,0.266,0.354037267,0.466192171,0.820229438,0.313131313,22.3255814,11.47286822,599,654,125,0.22477064220183487,0.728,0.264,0.008,0.03363914373088685,0.10703363914373089,0.09938837920489296,0.07186544342507645,0.0030581039755351682,0.26452599388379205,0.0030581039755351682,0.0030581039755351682,0.0,0.016819571865443424,0.0,0.016819571865443424,0.245,0.302,0.414,0.716,0.308,26.5,7.2,,,,,,,,,
