#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
87,Josh Naylor,SEA,144,540,603,141,92,26,0,23,75,79,51,5,88,6,5,1,15,4,11,0.261,0.328,0.438,0.766,0.271,14.70%,8.40%
88,Trent Grisham,NYY,126,441,520,97,53,17,2,25,68,64,68,0,129,6,3,3,6,2,4,0.219,0.329,0.435,0.764,0.248,24.90%,13.00%
89,Drake Baldwin,ATL,131,463,514,117,79,21,1,16,59,63,43,1,93,4,4,1,0,0,0,0.254,0.32,0.406,0.726,0.283,18.20%,8.30%
90,Ian Happ,CHC,145,540,626,128,79,28,1,21,78,73,77,2,148,5,4,1,8,2,6,0.238,0.336,0.409,0.746,0.288,23.60%,12.30%
91,Oneil Cruz,PIT,127,467,526,110,65,21,4,20,74,61,52,3,160,4,3,0,25,6,19,0.235,0.315,0.427,0.741,0.309,30.40%,9.90%
92,Ben Rice,NYY,131,472,537,115,65,23,2,25,70,70,53,0,112,8,4,1,5,1,4,0.243,0.327,0.458,0.784,0.265,20.80%,9.80%
93,Max Muncy,LAD,113,384,458,84,44,16,1,22,63,64,64,2,111,5,4,0,2,1,1,0.219,0.285,0.38,0.666,0.306,29.70%,6.00%
94,Luis Arraez,SFG,139,559,606,173,137,28,3,5,70,61,33,3,23,4,5,5,8,3,5,0.309,0.35,0.396,0.746,0.313,3.90%,5.50%
95,Isaac Paredes,HOU,115,418,485,101,62,18,0,22,62,62,55,0,81,9,4,0,1,0,1,0.242,0.34,0.442,0.783,0.25,16.70%,11.20%
96,Agustin Ramirez,MIA,123,467,512,115,71,26,1,17,59,63,36,2,103,5,4,1,10,2,8,0.247,0.305,0.417,0.723,0.279,20.10%,7.00%
97,Wilyer Abreu,BOS,125,446,502,109,61,24,1,22,62,70,49,2,125,3,4,1,8,3,5,0.243,0.32,0.45,0.77,0.286,24.80%,9.70%
98,Jackson Holliday,BAL,120,457,514,115,77,23,2,14,65,52,49,1,114,4,3,1,13,5,8,0.251,0.327,0.398,0.725,0.305,22.30%,9.60%
99,Daulton Varsho,TOR,132,483,535,106,57,21,2,26,68,71,43,1,139,4,4,1,9,2,7,0.22,0.287,0.433,0.72,0.25,26.10%,8.00%
100,Steven Kwan,CLE,146,571,641,156,120,25,3,8,74,58,58,1,55,5,5,3,16,5,11,0.274,0.343,0.372,0.714,0.289,8.60%,9.00%
101,Brandon Lowe,PIT,125,476,531,116,68,22,1,24,65,76,45,1,136,5,4,0,4,1,3,0.244,0.314,0.451,0.764,0.288,25.70%,8.50%
102,Dillon Dingler,DET,109,378,412,90,58,19,1,12,43,47,24,1,106,6,3,0,2,1,1,0.239,0.293,0.389,0.682,0.298,25.70%,5.80%
103,Ivan Herrera,STL,124,460,523,123,84,21,1,17,66,62,50,1,105,9,3,1,7,2,5,0.267,0.349,0.427,0.775,0.311,20.10%,9.60%
104,Colson Montgomery,CHW,129,484,541,104,61,20,2,22,61,65,45,2,165,9,4,0,3,1,2,0.216,0.292,0.4,0.691,0.274,30.50%,8.30%
105,Bryson Stott,PHI,140,510,566,129,91,24,2,12,68,56,47,1,96,3,4,1,22,6,16,0.253,0.317,0.379,0.696,0.287,17.00%,8.40%
106,Colton Cowser,BAL,129,458,517,104,61,22,1,20,65,61,47,2,163,7,3,1,11,3,8,0.227,0.307,0.411,0.717,0.3,31.60%,9.10%
107,Tyler Soderstrom,ATH,140,524,584,133,78,28,2,25,75,76,50,2,141,6,5,0,6,2,4,0.253,0.322,0.455,0.777,0.298,24.20%,8.60%
108,Kyle Teel,CHW,116,410,467,100,68,19,1,12,53,46,48,0,121,5,3,1,5,2,3,0.244,0.328,0.385,0.713,0.314,25.90%,10.30%
109,Michael Harris II,ATL,138,529,566,139,91,27,2,18,73,68,27,2,112,5,4,2,19,5,14,0.262,0.302,0.426,0.727,0.299,19.80%,4.80%
110,Ezequiel Tovar,COL,147,581,625,152,97,34,3,19,73,77,30,0,158,4,5,5,10,3,7,0.262,0.301,0.429,0.73,0.325,25.20%,4.80%
111,Vinnie Pasquantino,KCR,146,562,627,148,89,31,2,27,76,92,51,3,91,6,7,1,1,0,1,0.263,0.328,0.467,0.795,0.269,14.60%,8.10%
112,Andres Gimenez,TOR,137,500,550,122,89,22,2,10,64,48,30,2,98,14,4,3,22,5,17,0.245,0.303,0.354,0.657,0.284,17.90%,5.40%
113,Luis Robert Jr.,NYM,125,462,510,109,69,20,1,19,70,56,37,2,144,6,3,1,30,7,23,0.237,0.299,0.412,0.71,0.298,28.20%,7.20%
