#,Team,Position,Name,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%
95,LAD,OF,Teoscar Hernandez,601.7688752,652,157.7257319,96.44375963,27.1248074,1.004622496,33.15254237,90.41602465,94.43451464,38.17565485,0,192.8875193,7.032357473,5.023112481,0,6.027734977,3.013867488,3.013867488,0.262,0.311248074,0.475792988,0.787041062,0.327176781,29.58397535,5.855161787,589,652,160,93,32,2,33,84,99,53,3,188,8,1,0,12,3,0.272,0.339,0.501,0.84,0.344,28.8,8.1
96,SEA,SS,J.P. Crawford,383.4555382,451,101.3166927,65.43369735,23.92199688,0.703588144,11.2574103,62.61934477,43.6224649,59.10140406,0,83.72698908,4.925117005,3.517940718,0,2.110764431,0.703588144,1.407176287,0.264,0.366614665,0.418348624,0.784963288,0.308433735,18.56474259,13.10452418,392,451,79,52,16,2,9,55,37,52,0,102,6,1,0,5,0,0.202,0.304,0.321,0.625,0.248,22.6,11.5
97,CHC,3B,Michael Busch,494.4884547,567,123.8738899,75.53285968,24.1705151,1.007104796,23.1634103,73.51865009,86.61101243,60.42628774,0,152.0728242,8.056838366,4.028419183,0,3.021314387,1.007104796,2.014209591,0.251,0.339253996,0.443991853,0.78324585,0.31152648,26.82060391,10.65719361,496,567,123,72,28,2,21,73,65,63,1,162,4,4,0,2,1,0.248,0.335,0.44,0.775,0.322,28.6,11.1
98,NYY,1B,Anthony Rizzo,327.8862479,375,82.13073005,50.29711375,15.91680815,0.636672326,15.28013582,49.0237691,48.38709677,33.10696095,0,82.13073005,12.09677419,1.910016978,0,3.18336163,1.910016978,1.273344652,0.25,0.339558574,0.442718447,0.78227702,0.287671233,21.90152801,8.82852292,337,375,77,57,12,0,8,38,35,27,0,65,9,2,0,0,0,0.228,0.301,0.335,0.637,0.259,17.3,7.2
99,BAL,OF,Anthony Santander,598.3959311,665,149.8591549,83.25508607,35.38341158,1.040688576,30.1799687,81.17370892,93.66197183,53.07511737,0,143.6150235,8.325508607,5.203442879,0,4.162754304,2.081377152,2.081377152,0.25,0.317683881,0.464347826,0.782031707,0.278450363,21.59624413,7.981220657,595,665,140,69,25,2,44,91,102,58,3,129,7,5,0,2,0,0.235,0.308,0.506,0.814,0.225,19.4,8.7
100,PIT,OF,Jack Suwinski,233.9846416,277,52.94197952,27.8890785,10.87201365,1.418088737,12.76279863,34.50682594,37.81569966,36.87030717,0,84.61262799,2.836177474,3.30887372,0,6.61774744,2.363481229,4.254266212,0.226,0.33447099,0.448484848,0.782955838,0.287162162,30.54607509,13.3105802,247,277,45,28,8,0,9,29,26,27,2,79,1,1,1,9,1,0.182,0.264,0.324,0.588,0.225,28.5,9.7
101,SDP,SS,Xander Bogaerts,410.3364929,463,115.5671406,81.18957346,21.21169036,0.731437599,12.43443918,59.9778831,58.5150079,42.42338073,0,80.45813586,5.85150079,4.388625592,0,12.43443918,2.194312796,10.24012638,0.282,0.353870458,0.427807487,0.781677945,0.320454545,17.37756714,9.16271722,428,463,113,86,15,1,11,50,44,28,0,79,1,6,0,13,3,0.264,0.307,0.381,0.688,0.297,17.1,6
102,SDP,C,Luis Campusano,274.186722,299,75.68049793,51.48755187,11.78630705,0.62033195,11.78630705,34.73858921,39.70124481,19.85062241,0,51.48755187,3.101659751,1.860995851,0,0,0.62033195,-0.62033195,0.276,0.329875519,0.452488688,0.782364206,0.300291545,17.21991701,6.639004149,277,299,63,42,13,0,8,37,40,20,0,41,1,1,0,0,0,0.227,0.281,0.361,0.642,0.24,13.7,6.7
103,STL,"2B, OF, 1B, 3B",Brendan Donovan,566.6337761,652,159.597723,117.5332068,25.98102467,1.237191651,14.84629981,81.65464896,71.75711575,69.28273245,0,90.31499051,13.60910816,2.474383302,0,7.423149905,2.474383302,4.948766603,0.282,0.371916509,0.410480349,0.782396858,0.312,13.85199241,10.62618596,587,652,163,112,34,3,14,65,73,47,0,81,13,5,0,5,5,0.278,0.342,0.417,0.759,0.3,12.4,7.2
105,MIL,OF,Jackson Chourio,531.8615385,573,143.0051282,90.11282051,25.46666667,2.938461538,24.48717949,73.46153846,74.44102564,33.3025641,0,123.4153846,3.917948718,3.917948718,0,36.24102564,6.856410256,29.38461538,0.269,0.314529915,0.465930018,0.780459933,0.305555556,21.53846154,5.811965812,528,573,145,91,29,4,21,80,79,39,4,121,3,2,1,22,7,0.275,0.327,0.464,0.791,0.32,21.1,6.8
