#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
93,Jazz Chisholm Jr.,NYY,141,537,609,126,78,18,2,28,80,94,62,2,158,6,3,1,33,8,25,0.235,0.319,0.435,0.754,0.277,25.90%,10.20%
94,Lawrence Butler,ATH,136,531,588,132,81,28,2,21,80,79,52,0,151,1,3,1,18,5,13,0.248,0.315,0.427,0.741,0.306,25.60%,8.80%
95,Brendan Donovan,SEA,130,496,560,135,95,27,1,12,66,57,49,2,73,10,3,1,3,3,0,0.273,0.349,0.402,0.751,0.299,13.10%,8.80%
96,Trevor Story,BOS,154,618,665,158,102,34,0,22,83,92,36,2,181,6,4,1,24,1,23,0.255,0.301,0.418,0.719,0.325,27.30%,5.30%
97,Kyle Stowers,MIA,141,536,609,131,73,27,4,28,73,89,58,3,171,9,5,0,4,1,3,0.245,0.327,0.465,0.792,0.302,28.10%,9.60%
98,Oneil Cruz,PIT,125,474,539,112,64,22,4,22,70,67,58,4,163,4,4,0,30,5,25,0.237,0.323,0.44,0.763,0.309,30.30%,10.70%
99,CJ Abrams,WSN,146,574,630,146,92,30,5,19,89,72,36,2,119,15,4,1,31,6,25,0.254,0.312,0.421,0.734,0.288,18.90%,5.70%
100,Xavier Edwards,MIA,139,540,602,149,119,21,4,4,71,51,51,1,82,2,3,5,27,6,21,0.276,0.339,0.354,0.693,0.316,13.60%,8.50%
101,Francisco Alvarez,NYM,112,396,446,93,56,15,1,21,54,65,41,1,119,6,2,0,1,0,1,0.235,0.315,0.439,0.754,0.278,26.80%,9.30%
102,Tommy Edman,LAD,117,461,504,116,75,22,2,16,68,61,33,0,89,5,4,1,12,1,11,0.251,0.305,0.412,0.717,0.277,17.60%,6.50%
103,Wilyer Abreu,BOS,120,457,518,112,66,25,1,20,69,72,55,3,128,2,3,0,8,3,5,0.245,0.328,0.438,0.766,0.293,24.70%,10.70%
104,Dylan Crews,WSN,138,539,595,131,89,21,5,16,77,66,41,0,134,12,3,0,27,8,19,0.244,0.31,0.392,0.702,0.295,22.50%,6.90%
105,Jarren Duran,BOS,139,543,602,140,80,37,8,16,81,70,48,1,139,7,3,1,22,5,17,0.259,0.326,0.445,0.77,0.318,23.00%,7.90%
106,Alec Bohm,PHI,141,556,609,157,109,29,2,16,70,78,40,2,94,5,8,0,3,1,2,0.282,0.332,0.431,0.763,0.309,15.40%,6.60%
