Name,Team,Position,BABIP,K%,BB%,HR%,1B%,2B%,3B%,R%,RBI%,IBB%,HBP%,SF%,SH%,SB%,CS%,NSB%
Munetaka Murakami,CWS ,"1B,3B",0.282,0.3266,0.14290000000000003,0.05583821548294116,0.7421176734785537,0.2392207500561419,0.0055840163934426194,0.1412429378531073,0.1349353049907578,0.008957404510098105,0.011093705943168561,0.0037664783427495,0.00166358595194082,0.016192613829265474,0.00550546398218605,0.010687149847079424
Brandon Nimmo,TEX ,OF,0.29245,0.2183,0.09609999999999999,0.035260263758795755,0.7568365817091454,0.22344452773613188,0.02403193894855847,0.1272141706924315,0.1157556270096463,0.001592793788375985,0.014490423598490131,0.0064412238325281,0.00160567549635069,0.014820344000408225,0.0035797998617662996,0.011240544138641926
Jackson Holliday,BAL ,"2B,SS",0.30425,0.2174,0.0972,0.025421132621963327,0.7470175438596491,0.2243808049535603,0.022268542643738,0.1264591439688716,0.0981595092024539,0.0021704349141365153,0.007821886960604041,0.0058365758754863,0.00184049079754599,0.026635078878177003,0.008679498587239876,0.017955580290937127
Colson Montgomery,CWS ,"3B,SS",0.27530000000000004,0.2985,0.08289999999999999,0.040780709124516853,0.7371987951807228,0.23727051061388407,0.024437757364586605,0.1127541589648798,0.1272727272727272,0.002164012190363025,0.01660863720383128,0.0073937153419593,0.0,0.003973119903352425,0.0018557623478882997,0.002117357555464125
Dansby Swanson,CHC ,SS,0.3003,0.25465000000000004,0.0819,0.03549026064229338,0.7560106788710907,0.23197940503432485,0.018267993212524744,0.1243941841680129,0.1194267515923566,0.0014948564622259699,0.00629353899344528,0.0064620355411954,0.0014331210191082,0.025668047018625427,0.006208367773617875,0.019459679245007553
Ceddanne Rafaela,BOS ,"2B,OF",0.29495,0.21085,0.043899999999999995,0.02919279484709688,0.7381715838509317,0.2282802795031056,0.03341782776565378,0.1224862888482632,0.1129032258064516,0.00045343450426896,0.011126509537195382,0.0073126142595978,0.0035542136765718403,0.03632342814767728,0.01104662348489705,0.025276804662780226
Xavier Edwards,MIA ,"2B,SS",0.3181,0.13754999999999998,0.0795,0.0038134681583476496,0.8194627276901882,0.1594851778151946,0.027512036030439477,0.1128472222222222,0.0757314974182444,0.0016783808823332999,0.005203851118760721,0.0069444444444444,0.00702677820918218,0.04606632510106867,0.0108814674982572,0.035184857602811474
Mike Trout,LAA ,OF,0.30205,0.3054,0.1353,0.048417240130387465,0.7373333333333333,0.24666666666666662,0.024086312118570135,0.1272727272727272,0.1274900398406374,0.013424656352943135,0.013922491850778661,0.006060606060606,0.0,0.006267785998861625,0.002099350780895725,0.0041684352179659
Steven Kwan,CLE ,OF,0.28574999999999995,0.0911,0.0883,0.00701157348619526,0.8144856591285162,0.1629550468836183,0.01890640640640635,0.1092043681747269,0.0837209302325581,0.001516867668936485,0.00764043584999204,0.0078003120124804,0.004637174331176709,0.028073089700996624,0.00749745517187375,0.020575634529122873
Ivan Herrera,STL ,C,0.3093,0.19734999999999997,0.0962,0.032414153404365674,0.7832539682539682,0.20806878306878307,0.00944589741993063,0.1261950286806883,0.120817843866171,0.0017206006224246202,0.017532181367148302,0.005736137667304,0.00167286245353155,0.016706202178525177,0.00519225714392995,0.011513945034595227
Kazuma Okamoto,TOR ,"1B,3B",0.25775000000000003,0.18764999999999998,0.09720000000000001,0.04773486886472946,0.7323907799517556,0.26440632538193515,0.00454665959703075,0.1257253384912959,0.1340996168582375,0.009637126293857755,0.013526682822354062,0.0077369439071566,0.0017241379310344502,0.00421284893267645,0.001921277733226375,0.002291571199450075
Adley Rutschman,BAL ,C,0.27185000000000004,0.1576,0.10869999999999999,0.03186133706151492,0.7594115004492362,0.2375336927223719,0.011883164005805476,0.1192170818505338,0.1142857142857142,0.0035411273647695347,0.00694140823589219,0.0088967971530249,0.0,0.0017809818273598502,0.0,0.0017809818273598502
Alec Burleson,STL ,"1B,OF",0.27725,0.14065,0.0683,0.03506326792591232,0.7798611111111111,0.21233974358974353,0.0083867521367521,0.1122807017543859,0.127177700348432,0.00043737392261139,0.0070126535851824405,0.010087719298245552,0.00173405720768167,0.0103314156065148,0.0035374548358633,0.006793960770651501
Christian Walker,HOU ,1B,0.263,0.2599,0.08199999999999999,0.04751773049645388,0.7523876404494381,0.23403150952613572,0.011257925254240336,0.1187943262411347,0.1365248226950354,0.003141575779247835,0.01258865248226941,0.0088652482269503,0.0,0.0052498659038083,0.001807798706317825,0.0034420671974904754
Bryan Reynolds,PIT ,OF,0.31865,0.24334999999999998,0.0884,0.02713381555153699,0.7477315335583052,0.2268153980752406,0.030579187837252296,0.119047619047619,0.1170886075949367,0.003121838718976845,0.01269439421338146,0.0079365079365079,0.0,0.00826273685038125,0.0031985002297698,0.005064236620611449
Jurickson Profar,ATL ,OF,0.2695,0.16235,0.11129999999999998,0.03264080225119109,0.7776155610444602,0.22320483415666897,0.009118845695372744,0.1262975778546712,0.1120543293718166,0.00159389113115316,0.01398476098718716,0.0069204152249134,0.0016832930854485003,0.014953890687447902,0.0037987761152571,0.011155114572190802
Brenton Doyle,COL ,OF,0.32085,0.2655,0.0644,0.035571258801129574,0.7344835907335906,0.22816119691119688,0.025663805519358873,0.1330935251798561,0.1136767317939609,0.0,0.00538897478819785,0.0071942446043165,0.00513187157633922,0.03721883069391162,0.00870573577860345,0.028513094915308165
Marcus Semien,NYM ,2B,0.26365000000000005,0.1661,0.0865,0.03316153236748402,0.7555615453728661,0.20902964959568732,0.018331736731942074,0.1212653778558875,0.1157167530224525,0.0013373078449672251,0.005436013246279341,0.0087873462214411,0.0,0.016316416181250598,0.00371342806614745,0.012602988115103148
Ernie Clement,TOR ,"1B,2B,3B,SS",0.26965000000000006,0.10189999999999999,0.0426,0.01857465856898072,0.7678461538461538,0.20784615384615382,0.016687827426810443,0.1080074487895716,0.101633393829401,0.001625414085497245,0.00575388577396096,0.0093109869646182,0.00746525233623789,0.014771279773647,0.00515644594689325,0.00961483382675375
Gleyber Torres,DET ,2B,0.28835,0.17175,0.11129999999999998,0.026792898999323602,0.7827764976958526,0.21489375320020476,0.007955709165386545,0.1182965299684542,0.107981220657277,0.00112781954887215,0.006304211529252601,0.0094637223974763,0.0015588266440749203,0.00812418369868325,0.0031323471967335,0.00499183650194975
Yainer Diaz,HOU ,C,0.2952,0.17345,0.0437,0.03497001889627877,0.7798127074442864,0.21194879089615926,0.00912504103293576,0.1132437619961612,0.1298449612403101,0.001955183725773865,0.00576373699950897,0.0076775431861804,0.0017441860465116,0.002435806643212825,0.0005197505197505,0.001916056123462325
Max Muncy,LAD ,3B,0.30369999999999997,0.28175,0.059300000000000005,0.037772490066780524,0.7251237357879429,0.25333095088577473,0.01744450901552535,0.12465964551759565,0.1254111033949606,0.00375544597069883,0.0116117395387612,0.0073079886976624,0.00166476570668187,0.007844622271075663,0.003940875465121313,0.0039037468059543497
Spencer Torkelson,DET ,1B,0.272,0.2591,0.1043,0.04286995898838,0.7180803571428571,0.27200255102040816,0.008900226757369574,0.1167763157894736,0.1282467532467532,0.004683365764116959,0.01149820574162675,0.0082236842105263,0.0,0.0032031140902108253,0.0016508080307906753,0.00155230605942015
Brendan Donovan,SEA ,"2B,SS,OF",0.2888,0.13849999999999998,0.08710000000000001,0.02352822340270503,0.7725319693094628,0.2176653270003653,0.008418453588331865,0.114963503649635,0.101633393829401,0.00358899309057939,0.01641441572721123,0.0072992700729927,0.00344535908737355,0.009037950479647325,0.0036397542416623254,0.005398196237984999
Alejandro Kirk,TOR ,C,0.2742,0.12195,0.0945,0.03670913205994301,0.7944392377382068,0.19488701447464335,0.00268817204301075,0.1224066390041493,0.1301652892561983,0.004065932809802995,0.01016254586605389,0.0103734439834024,0.0,0.0020546372819099747,0.0,0.0020546372819099747
Chandler Simpson,TB ,OF,0.31795,0.10569999999999999,0.052199999999999996,0.00022075055187637004,0.8414670868347339,0.12736344537815125,0.027178392017964164,0.1258278145695364,0.0728476821192053,0.000331125827814555,0.0022075055187637,0.0066225165562913,0.0092657011862309,0.09481114911578484,0.020566384631258976,0.07424476448452585
Ryan McMahon,NYY ,3B,0.2864,0.31894999999999996,0.113,0.03525052742616028,0.762819069069069,0.23451576576576574,0.014283223315481354,0.1125,0.1075949367088607,0.003795665418065935,0.00625791139240506,0.00625,0.0,0.0062774476879358995,0.00377135307853015,0.0025060946094057493
Addison Barger,TOR ,"3B,OF",0.28315,0.23829999999999998,0.0775,0.03634126000225398,0.7191089941159988,0.27759876716166987,0.01176016357789958,0.1199143468950749,0.1263157894736842,0.00395920381426968,0.008550884706412661,0.006423982869379,0.0,0.008728916886811575,0.00213204471355375,0.006596872173257825
Paul Goldschmidt,NYY ,1B,0.2913,0.22675,0.07629999999999999,0.03287292817679555,0.7650684931506848,0.2346897663174859,0.0057142857142856805,0.1132596685082873,0.1077348066298342,0.004862954724833101,0.005524861878453,0.005524861878453,0.0,0.011534046064432726,0.0027740703954311,0.008759975669001625
Andres Gimenez,TOR ,"2B,SS",0.2839,0.17325,0.054599999999999996,0.015062235255783601,0.7814536340852131,0.1960761278195488,0.017980013106159848,0.1163636363636363,0.0985663082437276,0.003245674418349915,0.025418051482567563,0.0072727272727272,0.00534291135809161,0.03654558597632598,0.007281105990783401,0.029264479985542574
Carson Kelly,CHC ,C,0.26355,0.20315,0.09230000000000001,0.03505434782608692,0.7941344246031745,0.20554315476190474,0.016301406926406897,0.1114130434782608,0.1168478260869565,0.0,0.0108695652173913,0.0081521739130434,0.0024456521739130203,0.005416569530248225,0.0,0.005416569530248225
J.T. Realmuto,PHI ,C,0.31335,0.24085,0.0657,0.03198584456240639,0.753469156762875,0.23268251273344645,0.024016389788700937,0.1225806451612903,0.1139240506329113,0.00203355110929631,0.01502518034571932,0.008064516129032251,0.0,0.01457594936708855,0.0038023120640661,0.01077363730302245
Brett Baty,NYM ,"2B,3B",0.2887,0.2475,0.0795,0.03344667498168715,0.7905073772959951,0.20618789521228542,0.010993543758966974,0.1106194690265486,0.116331096196868,0.000555572053612065,0.00664459226703092,0.0044247787610619,0.00201342281879187,0.01008994201707525,0.002355359124060975,0.007734582893014276
Dillon Dingler,DET ,C,0.30069999999999997,0.2486,0.0595,0.026913741598207534,0.7481249999999999,0.246875,0.02089133089133087,0.1019417475728155,0.1177884615384615,0.00232860021632197,0.01454910380881254,0.0072815533980582,0.0021634615384614904,0.0023775972590627252,0.0018028846153845752,0.0005747126436781501
Jorge Polanco,NYM ,"2B,3B",0.27075000000000005,0.2036,0.0906,0.03832573673870334,0.7440733423879491,0.23465859982713907,0.0,0.118,0.1355599214145383,0.0018700900278503102,0.007789390962671901,0.008,0.00390264614233173,0.010572515238527001,0.00400852593862485,0.006563989299902151
Javier Baez,DET ,"2B,3B,SS,OF",0.28374999999999995,0.23865,0.0384,0.02542743731242133,0.7631488347457627,0.23265360169491522,0.016863167680865446,0.1022364217252396,0.1151515151515151,0.0,0.01271371865621062,0.0063897763578274,0.0,0.0152597402597402,0.0032379782379782,0.012021762021762
J.P. Crawford,SEA ,SS,0.2881,0.19245,0.11049999999999999,0.01709370217107866,0.7790521658127619,0.20528644620400552,0.009234022556390949,0.1050847457627118,0.0919732441471571,0.00159885540293998,0.00846323904540555,0.0050847457627118,0.005142993652310369,0.0098798716811139,0.0017482517482516752,0.008131619932862225
Giancarlo Stanton,NYY ,OF,0.25980000000000003,0.31020000000000003,0.0943,0.060476995185409485,0.7733366434955313,0.22244289970208533,0.0,0.1215189873417721,0.1612090680100755,0.004895233267497429,0.005060740362847931,0.0050632911392405,0.0,0.0006053268765133,0.0,0.0006053268765133
Isaac Paredes,HOU ,3B,0.2493,0.16835,0.1106,0.03749204140577229,0.7754166666666666,0.22430555555555556,0.01057196436943266,0.1175257731958762,0.1267893660531697,0.0,0.01874602070288614,0.0082474226804123,0.0,0.0020589524153219246,0.0020645278939209998,-5.575478599075152e-06
Zach McKinstry,DET ,"3B,SS,OF",0.28575,0.21775000000000003,0.08399999999999999,0.01904535225895785,0.7288919000301114,0.2092366757000903,0.06320232441096732,0.1202830188679245,0.0894495412844036,0.00218227850460596,0.009407997230396361,0.0070754716981132,0.00227743979969086,0.03433153694176558,0.008823739126301276,0.025507797815464302
Nolan Arenado,AZ ,3B,0.2661,0.14055,0.06520000000000001,0.0294720769349254,0.7790602529134639,0.21919166873295312,0.01150659588159586,0.1051660516605166,0.1234119782214156,0.00613998695157836,0.00736801923373135,0.0092250922509225,0.0,0.005343988775183351,0.0018456576485318499,0.003498331126651501
