#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
68,Robert Garcia,TEX,3,2,3.98,62,0,17,6,,61.2,261,55,29,27,7,22,2,2,63,9.2,3.26,1.26,24.10%,8.50%
69,Evan Sisk,PIT,2,1,3.63,44,0,0,7,,44.1,190,39,19,18,3,20,1,2,45,9.15,3.98,1.32,23.70%,10.30%
70,Steven Okert,HOU,3,2,4.09,63,0,0,14,,62.2,264,51,31,29,9,24,1,4,72,10.34,3.48,1.2,27.30%,9.20%
71,Luis Garcia,HOU,2,4,4.21,39,3,1,0,,51.1,216,45,26,24,8,17,1,2,53,7.46,2.97,1.32,19.30%,7.70%
72,Clayton Beeter,WSN,2,2,3.92,59,0,13,9,,62.2,270,49,29,27,7,34,2,3,75,10.78,4.94,1.33,27.80%,12.70%
73,Jared Koenig,MIL,3,2,3.82,62,0,2,15,,64.1,271,57,29,27,7,23,2,3,62,8.68,3.19,1.23,22.90%,8.40%
74,Luke Weaver,NYM,3,2,4.16,60,0,5,14,,67.2,285,60,33,31,10,22,1,3,71,9.46,2.9,1.22,24.90%,7.60%
75,Brendon Little,TOR,2,1,3.38,52,0,0,10,,51.2,219,42,21,19,4,24,2,3,54,9.52,4.26,1.29,24.90%,11.20%
76,Ryan Yarbrough,NYY,2,2,4.09,41,3,0,7,,62,260,56,30,28,8,19,1,4,51,7.48,2.8,1.22,19.70%,7.40%
77,David Morgan,SDP,3,2,3.96,56,0,0,12,,60.2,257,52,29,27,7,24,2,3,65,9.61,3.57,1.26,25.10%,9.30%
78,Kevin Ginkel,ARI,2,2,4.19,56,0,15,11,,58.2,250,55,29,27,6,20,1,3,56,8.58,3.11,1.29,22.30%,8.10%
79,Yimi Garcia,TOR,3,1,3.79,54,0,5,11,,54.2,226,46,25,23,8,16,1,3,57,9.32,2.63,1.13,25.10%,7.10%
80,Andrew Kittredge,BAL,3,2,4.02,63,0,7,13,,65,271,60,31,29,9,17,1,2,63,8.7,2.36,1.19,23.20%,6.30%
81,Travis Adams,MIN,2,2,4.4,40,2,0,4,,57.2,248,56,30,28,7,20,2,3,50,7.8,3.2,1.32,20.10%,8.30%
82,Kenley Jansen,DET,2,2,3.89,55,0,22,4,,56,233,45,26,24,8,19,1,2,56,9.02,3.09,1.14,24.20%,8.30%
83,PJ Poulin,WSN,2,2,3.9,58,0,3,14,,59.1,254,52,28,26,6,26,2,3,60,9.1,3.92,1.31,23.60%,10.20%
84,Robert Suarez,ATL,3,2,4.21,64,0,11,11,,66.1,281,62,33,31,9,21,2,3,66,8.95,2.87,1.26,23.50%,7.50%
85,Lucas Erceg,KCR,2,2,3.98,59,0,4,13,,62,267,57,29,27,5,25,1,4,55,7.96,3.66,1.32,20.60%,9.50%
86,Sean Newcomb,CHW,2,3,4.24,49,3,1,10,,67.2,293,61,34,32,7,31,2,4,63,8.42,4.18,1.36,21.60%,10.70%
87,Braydon Fisher,TOR,2,1,3.76,49,0,1,7,,50,212,39,22,21,6,24,2,3,59,10.57,4.33,1.26,27.60%,11.30%
88,Garrett Cleavinger,TBR,3,2,3.98,64,0,8,13,,63.2,271,53,30,28,8,27,1,4,76,10.79,3.87,1.27,28.10%,10.10%
89,Hoby Milner,CHC,3,2,3.86,59,0,0,13,,60,252,58,28,26,6,15,1,3,48,7.14,2.31,1.22,19.00%,6.10%
90,Jovani Moran,BOS,2,2,3.73,48,0,0,10,,50.2,218,41,23,21,4,26,1,2,56,9.86,4.58,1.32,25.50%,11.90%
91,Kendry Rojas,MIN,1,1,3.69,25,1,0,0,,31,131,28,14,13,3,10,1,1,32,9.22,3,1.23,24.30%,7.90%
92,Hunter Gaddis,CLE,2,2,4.13,62,0,4,14,,65.2,276,57,32,30,10,21,1,4,65,8.89,2.88,1.19,23.50%,7.60%
93,Brandyn Garcia,ARI,2,1,3.74,44,0,0,7,,47.2,206,43,21,20,3,21,1,3,45,8.51,3.95,1.34,22.00%,10.20%
94,Justin Topa,MIN,3,2,4.58,60,0,7,11,,62,269,66,34,31,6,19,2,3,48,6.98,2.8,1.38,17.90%,7.20%
95,Jeff Hoffman,TOR,3,2,4.08,61,0,26,4,,62,261,52,30,28,9,23,1,3,72,10.43,3.28,1.2,27.60%,8.70%
96,Eric Lauer,TOR,2,2,4.33,38,4,0,4,,61,260,55,31,29,9,24,2,2,63,9.28,3.53,1.29,24.20%,9.20%
97,Ryan Fernandez,STL,2,1,3.99,44,0,0,1,,46.1,196,42,22,20,5,17,1,2,46,9,3.22,1.26,23.60%,8.40%
98,Javier Assad,CHC,2,2,4.34,39,3,0,7,,58.2,252,55,30,28,6,24,1,3,49,7.47,3.65,1.34,19.30%,9.40%
99,Jimmy Herget,COL,3,3,4.7,63,1,2,15,,71.1,307,71,40,37,10,21,2,4,66,8.34,2.7,1.3,21.50%,7.00%
100,Tyler Alexander,TEX,2,3,4.39,49,2,0,11,,69,291,67,36,34,10,18,2,2,58,7.52,2.33,1.23,19.80%,6.10%
101,John Schreiber,KCR,3,2,4.07,64,0,1,14,,62.1,265,58,30,28,7,22,1,3,55,7.94,3.17,1.28,20.70%,8.20%
102,Tyler Kinley,ATL,2,2,4.22,60,0,2,13,,60.1,256,52,30,28,8,23,1,3,62,9.29,3.5,1.26,24.30%,9.10%
103,Dennis Santana,PIT,3,2,4.28,64,0,24,5,,66.2,286,62,34,32,7,26,2,4,61,8.28,3.45,1.32,21.40%,8.90%
104,Graham Ashcraft,CIN,2,2,4.12,54,0,2,16,,61.2,264,61,30,28,6,21,1,3,50,7.29,3.05,1.32,18.90%,7.90%
105,Louis Varland,TOR,3,2,4.19,58,0,4,13,,65.1,278,62,33,31,9,21,2,3,65,8.92,2.87,1.27,23.30%,7.50%
106,Riley O'Brien,STL,3,2,4.02,61,0,16,9,,63.1,274,54,30,28,6,30,2,5,65,9.27,4.32,1.34,23.90%,11.10%
107,Carlos Rodriguez,MIL,1,1,3.78,22,2,0,1,,32.2,137,26,15,14,4,13,1,2,33,9.01,3.63,1.21,23.80%,9.60%
108,Seranthony Dominguez,CHW,2,2,4.06,62,0,21,6,,61.2,262,50,30,28,8,27,1,4,68,9.87,3.96,1.25,25.90%,10.40%
109,Jack Perkins,ATH,1,1,3.52,23,1,0,1,,30,126,23,13,12,3,13,1,2,33,10.01,4.01,1.23,26.40%,10.60%
110,Cade Gibson,MIA,2,2,3.98,55,0,0,12,,61.1,264,58,29,27,5,24,2,3,50,7.39,3.59,1.34,19.10%,9.30%
111,Justin Lawrence,PIT,2,2,4.26,54,0,1,12,,58.1,256,56,30,28,5,27,1,4,56,8.66,4.11,1.41,22.00%,10.40%
112,Jedixson Paez,CHW,1,1,3.66,32,0,0,0,,34.1,140,31,15,14,5,6,1,1,32,8.31,1.49,1.07,22.70%,4.10%
113,A.J. Puk,ARI,1,1,3.85,30,0,5,1,,31.1,132,28,14,13,4,10,1,2,35,10.03,2.86,1.2,26.60%,7.60%
114,Bennett Sousa,HOU,2,1,3.97,47,0,1,4,,49.1,207,43,23,22,6,18,1,2,52,9.57,3.22,1.23,25.30%,8.50%
115,Sam Hentges,SFG,2,2,4.18,47,0,0,1,,46.1,199,46,23,21,5,17,1,2,45,8.71,3.24,1.35,22.50%,8.40%
116,Joel Payamps,ATL,2,1,4.35,51,0,0,10,,50.1,214,50,26,24,7,14,1,2,46,8.12,2.52,1.26,21.20%,6.60%
117,Jake Bird,NYY,3,1,3.91,50,0,0,10,,53.1,227,47,25,23,5,21,1,4,54,9.07,3.53,1.28,23.60%,9.20%
118,Kyle Finnegan,DET,2,2,4.13,59,0,6,13,,61,258,57,30,28,7,20,1,2,56,8.18,2.95,1.26,21.50%,7.80%
119,Tommy Nance,TOR,2,2,4.15,53,0,0,12,,55.2,237,51,27,26,7,20,1,3,54,8.79,3.19,1.28,22.90%,8.30%
120,Keegan Akin,BAL,3,2,4.17,62,0,2,15,,65,275,61,32,30,9,21,1,2,61,8.48,2.9,1.25,22.20%,7.60%
121,AJ Blubaugh,HOU,2,2,4.13,31,2,0,1,,45.2,195,39,22,21,6,19,1,2,47,9.27,3.75,1.27,24.20%,9.80%
122,Taylor Rogers,MIN,3,2,4.43,57,0,13,5,,57.2,250,55,31,28,7,23,1,3,57,8.93,3.63,1.35,22.90%,9.30%
123,Eric Orze,MIN,2,2,4.3,53,0,0,10,,56.2,244,50,29,27,7,24,1,3,58,9.23,3.86,1.32,23.80%,10.00%
124,Kevin Kelly,TBR,2,1,3.94,38,0,0,1,,39.1,164,38,18,17,4,9,1,2,33,7.58,2.12,1.21,20.10%,5.60%
125,Erik Miller,SFG,3,2,3.81,60,0,2,15,,60,259,50,27,25,5,32,2,3,60,9.05,4.85,1.37,23.20%,12.40%
126,Mike Vasil,CHW,2,3,4.27,60,2,1,14,,80.2,347,73,41,38,10,33,2,5,67,7.46,3.63,1.3,19.30%,9.40%
127,Ian Hamilton,ATL,2,1,4.25,46,0,0,7,,48.2,211,45,25,23,5,21,1,3,49,9.02,3.88,1.36,23.10%,10.00%
128,Fernando Cruz,NYY,3,2,4.25,58,0,1,16,,59.1,255,49,30,28,9,28,1,3,79,11.94,4.18,1.28,30.90%,10.80%
129,Justin Wilson,,2,3,4.04,43,0,0,0,,41.2,177,38,20,19,5,15,1,2,42,9.13,3.34,1.27,23.90%,8.70%
130,Pierson Ohl,COL,1,2,4.94,27,2,0,0,,40.2,176,46,24,22,6,9,1,1,33,7.41,1.92,1.34,19.00%,4.90%
131,Wikelman Gonzalez,CHW,2,1,3.96,43,0,0,4,,48,208,38,23,21,4,27,1,3,50,9.38,5,1.34,24.10%,12.80%
132,Elvis Alvarado,ATH,3,2,4.15,56,0,4,10,,59.2,258,51,30,28,7,28,2,4,65,9.74,4.28,1.32,25.10%,11.00%
133,Andrew Chafin,MIN,2,1,4.13,45,0,1,7,,43.2,189,39,22,20,4,20,1,2,45,9.32,4.21,1.36,23.90%,10.80%
134,Bryan Hudson,NYM,2,1,3.6,30,0,0,5,,33.1,141,28,14,13,3,13,1,1,33,8.76,3.49,1.23,23.10%,9.20%
135,Isaac Mattson,PIT,3,2,4.33,59,0,2,13,,64.1,280,56,33,31,7,32,1,4,64,9.01,4.52,1.37,23.00%,11.50%
136,Tim Herrin,CLE,2,2,3.93,53,0,0,10,,51,220,45,24,22,5,23,1,3,49,8.67,4.02,1.33,22.40%,10.40%
