#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
451,Kyle Farmer,ATL,20,70,77,16,10,3,0,2,8,8,5,0,17,2,0,0,0,0,0,0.223,0.289,0.364,0.652,0.264,22.50%,6.30%
452,Blake Dunn,CIN,13,38,43,9,6,2,0,1,5,4,4,0,13,1,0,0,1,0,1,0.227,0.314,0.338,0.652,0.321,30.20%,8.70%
453,Will Brennan,SFG,22,76,81,20,15,4,0,1,8,8,4,0,11,1,0,0,1,1,0,0.262,0.305,0.361,0.666,0.292,13.40%,5.10%
454,Gabriel Gonzalez,MIN,13,45,49,12,8,3,0,1,5,5,3,0,9,1,0,0,0,0,0,0.262,0.319,0.387,0.706,0.306,18.10%,6.00%
455,Chas McCormick,CHC,28,84,95,18,13,3,0,2,11,9,8,0,25,1,1,2,3,1,2,0.219,0.292,0.343,0.635,0.282,26.80%,8.00%
456,Austin Slater,DET,27,86,97,19,13,4,0,3,12,10,10,0,28,0,0,0,1,0,1,0.226,0.306,0.371,0.677,0.3,29.20%,10.00%
457,Jordan Walker,STL,127,462,508,108,70,23,1,14,53,55,37,1,138,5,3,0,9,3,6,0.234,0.296,0.381,0.678,0.3,27.10%,7.30%
458,Bryce Teodosio,LAA,60,200,218,42,29,8,2,3,22,16,12,0,68,3,2,1,9,2,7,0.209,0.263,0.31,0.573,0.298,31.10%,5.30%
459,Tre' Morgan,TBR,14,48,54,12,8,2,0,1,6,5,5,0,11,0,0,0,1,0,1,0.248,0.328,0.369,0.698,0.298,20.30%,10.10%
460,Joey Loperfido,HOU,94,314,345,72,48,15,2,8,38,34,22,1,97,6,2,2,6,2,4,0.23,0.291,0.361,0.652,0.305,28.00%,6.30%
461,Cesar Prieto,STL,14,42,45,10,8,2,0,0,4,4,2,0,9,0,0,0,0,0,0,0.247,0.284,0.337,0.621,0.305,20.70%,4.60%
462,Tanner Murray,CHW,18,66,70,15,10,3,0,1,7,6,3,0,17,1,0,0,0,0,0,0.229,0.274,0.339,0.613,0.287,23.70%,4.70%
463,Joey Wiemer,WSN,35,108,120,22,14,5,0,3,12,12,10,0,36,1,1,0,2,1,1,0.207,0.279,0.341,0.62,0.274,29.80%,8.20%
464,Tyrone Taylor,NYM,75,256,278,58,37,13,2,6,32,27,14,1,63,5,2,1,8,2,6,0.225,0.278,0.357,0.634,0.275,22.70%,5.10%
465,Santiago Espinal,LAD,35,113,123,28,21,5,0,1,12,11,8,0,17,0,0,1,1,0,1,0.247,0.3,0.328,0.627,0.28,13.80%,6.70%
466,Andrew McCutchen,,72,263,302,61,40,12,0,9,33,32,34,1,70,2,2,0,2,1,1,0.23,0.323,0.376,0.699,0.279,23.30%,11.40%
467,Josh Rojas,KCR,20,70,78,16,11,4,0,1,7,7,7,0,17,0,0,0,1,0,1,0.23,0.304,0.34,0.643,0.29,22.40%,9.40%
468,Jace Jung,DET,19,58,66,12,8,2,0,2,7,7,7,0,18,0,0,0,0,0,0,0.211,0.304,0.34,0.644,0.278,27.50%,11.40%
469,Tyler Locklear,ARI,55,195,218,46,30,9,1,6,25,24,17,0,62,4,1,0,4,1,3,0.234,0.308,0.378,0.686,0.311,28.50%,8.00%
