#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_K%,real_BB%,avg_hit_angle,anglesweetspotpercent,ev50,fbld,ev95percent,brl_percent,Adj_BRL%,Optimal_Pulled_Flyball%,Adj_OPFB,95%_EV,Adj_LA,Adj_95EV,Adj_LA_95%_EV,O-Swing%,Adj_O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%
78,Ketel Marte,ARI,137,582.4090121,650,155.4592721,95.75389948,38.30155979,3.379549393,18.02426343,81.10918544,73.22357019,55.19930676,2.253032929,110.3986135,6.759098787,4.506065858,1.126516464,5.632582322,1.126516464,4.506065858,0.267,0.335069444,0.437137331,16.98440208,8.49220104,569,650,157,97,26,9,25,94,82,71,2,109,5,5,0,8,2,6,0.276,0.358,0.485,16.8,10.9,13.5,31.6,101.2,92.3,41.9,6.1,23.01886793,6.862745098,36.76936446,111.03,57.1879,62.4864368,3573.468099,30.7,62.500046,68.5,46,73.4,86.3,81.1,40.5,59.3,8.7,16,24.7
79,Ke'Bryan Hayes,PIT,137,473.4051724,525,121.2931034,83.27586207,26.25,2.715517241,9.956896552,59.74137931,50.68965517,44.35344828,0,110.4310345,4.525862069,2.715517241,0.905172414,16.29310345,4.525862069,11.76724138,0.257,0.324137931,0.388145315,21.03448276,8.448275862,494,525,134,81,31,7,15,65,61,28,1,104,0,3,0,10,6,4,0.271,0.309,0.453,19.8,5.3,5.2,30.6,102.3,93,46.8,3.9,14.71698113,1.837270341,4.754689696,110.12,22.6018,57.5246072,1300.159667,30,64.9306,63.5,43.3,65.8,92.1,81.1,39.6,58.6,8.2,19.4,27.6
81,Christian Yelich,MIL,144,539.3880837,632,134.3381643,88.5410628,25.44283414,3.053140097,17.30112721,88.5410628,61.06280193,83.45249597,4.070853462,154.6924316,5.088566828,3.053140097,2.035426731,15.26570048,4.070853462,11.19484702,0.249,0.353225806,0.403773585,24.47665056,13.20450886,550,632,153,99,34,1,19,106,76,78,7,140,3,1,0,28,3,25,0.278,0.37,0.447,22.2,12.3,3.6,30.3,103,95.3,48.6,8.2,30.94339623,1.913875598,5.242701776,111.62,15.9346,65.7034472,1046.95815,26.2,78.125036,68.2,43.1,57.6,88.5,77.3,40.4,55.7,9.8,17,26.8
84,Tyler O'Neill,STL,132,237.2700186,266,58.94599628,34.67411546,10.40223464,0.990689013,12.87895717,37.6461825,36.65549348,22.29050279,0,75.7877095,3.962756052,2.476722533,0.495344507,7.925512104,1.981378026,5.944134078,0.249,0.320297952,0.463465553,28.49162011,8.379888268,238,266,55,32,14,0,9,27,21,28,0,67,0,0,0,5,0,5,0.231,0.312,0.403,25.2,10.5,13.6,36.6,101,96.1,43.3,11.3,42.64150944,6.995884774,37.61752779,108.93,57.6046,51.0360608,2939.911868,29.6,66.319488,70.1,46.3,56.1,82.4,72.5,41.2,59.5,12.7,16.1,28.8
85,Danny Jansen,TOR,111,264.3627685,301,62.49880668,34.48210024,12.93078759,0.718377088,14.36754177,37.35560859,40.94749403,28.01670644,0.718377088,58.90692124,4.31026253,2.873508353,2.155131265,0.718377088,0.718377088,0,0.238,0.316546763,0.453804348,19.57040573,9.307875895,268,301,61,29,15,0,17,38,53,23,1,62,10,0,0,0,0,0,0.228,0.312,0.474,20.6,7.6,22.2,34.7,101.2,95.8,46.6,13.1,49.43396227,10.38251366,59.19197151,107.86,93.4408,45.2018216,4223.694372,26.1,78.472258,69.6,45.2,68.1,85.3,79.7,43.8,60.1,9.2,17.4,26.5
86,Ian Happ,CHC,145,609.7731788,691,151.013245,92.66721854,32.03311258,2.28807947,24.02483444,82.37086093,81.22682119,69.78642384,2.28807947,175.0380795,5.720198675,3.432119205,1.144039735,10.29635762,3.432119205,6.864238411,0.248,0.328903654,0.425891182,25.33112583,10.09933775,580,691,144,84,35,4,21,86,84,99,2,153,6,6,0,14,3,11,0.248,0.36,0.431,22.1,14.3,10.9,29.2,100.3,94.3,40.4,6.5,24.52830189,5.633802817,28.94041509,109.01,46.3537,51.4722656,2385.929958,30.7,62.500046,74.6,49,62.1,83.7,75.8,41.5,57.4,11.9,14,25.9
87,Ty France,SEA,143,594.0229885,665,160.5172414,108.1034483,30.57471264,1.091954023,20.74712644,80.8045977,79.71264368,43.67816092,1.091954023,109.1954023,20.74712644,4.367816092,1.091954023,0,0,0,0.27,0.33937397,0.430147059,16.42036125,6.568144499,587,665,147,103,32,0,12,79,58,43,0,117,34,1,0,1,0,1,0.25,0.337,0.366,17.6,6.5,10,34.8,99,91.3,36.8,5.4,20.37735849,6.43776824,34.06205887,107.73,42.6034,44.4929888,1895.552599,35.8,44.791724,78.5,52.4,67.4,92.9,82.2,38.9,57.3,9.3,12.8,22.1
88,Jeremy Pena,HOU,141,590.6495726,634,146.3076923,96.45470085,24.92649573,3.251282051,22.75897436,76.94700855,73.6957265,29.26153846,0,154.9777778,7.586324786,4.335042735,2.167521368,13.00512821,3.251282051,9.753846154,0.249,0.289879931,0.418348624,24.44444444,4.615384615,577,634,152,107,32,3,10,81,52,43,1,129,9,1,1,13,9,4,0.263,0.324,0.381,20.3,6.8,8.7,32.9,99.8,93.6,36.7,9.7,36.60377359,6.138107417,32.15307629,108.63,37.1863,49.4002928,1837.014108,41,26.73618,76.6,54.7,52.7,87.3,71.4,38.5,68.3,15.7,13,28.6
89,Seiya Suzuki,CHC,137,511.4035088,583,133.9877193,83.87017544,27.61578947,2.045614035,20.45614035,73.64210526,71.59649123,60.34561404,3.068421053,130.9192982,6.136842105,4.09122807,1.022807018,11.25087719,4.09122807,7.159649123,0.261,0.344463972,0.444,22.45614035,10.35087719,515,583,147,90,31,6,20,75,74,59,3,130,2,7,0,6,7,-1,0.285,0.357,0.485,22.3,10.1,11.2,36.9,100.2,92.5,41.3,11,41.50943397,3.114186851,12.88925782,108.91,47.6038,50.9270096,2424.31918,25.6,80.208368,57.4,39,64.2,88.9,79.5,42,60.1,8,23.2,31.2
90,Jake Cronenworth,SDP,146,459.1902439,522,115.4341463,72.99512195,24.61463415,3.395121951,14.42926829,66.20487805,61.11219512,48.3804878,1.697560976,91.66829268,8.487804878,4.243902439,0.848780488,3.395121951,0.848780488,2.546341463,0.25,0.331158238,0.414048059,17.56097561,9.268292683,458,522,105,64,24,7,10,54,48,46,2,97,11,5,1,6,1,5,0.229,0.312,0.378,18.6,8.8,18.2,32.3,97.9,91.4,34.1,5.6,21.13207547,5.781584582,29.88185552,106.06,76.7728,35.3872136,2716.775472,25.4,80.902812,61.5,41.7,69.7,91.3,84.1,45,62.1,6.6,21.4,28
