#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
190,Brooks Lee,MIN,138,547,595,135,92,25,2,16,63,68,39,1,101,3,5,1,4,1,3,0.248,0.299,0.389,0.689,0.274,16.90%,6.60%
191,Brett Baty,NYM,102,398,441,99,65,15,1,17,53,55,37,0,108,3,2,1,5,1,4,0.249,0.317,0.424,0.74,0.298,24.50%,8.40%
192,Mike Yastrzemski,ATL,105,394,455,90,51,20,3,16,56,50,52,2,107,4,3,2,4,2,2,0.229,0.323,0.416,0.739,0.271,23.50%,11.50%
193,Connor Norby,MIA,115,452,497,111,71,23,2,15,61,58,36,0,133,5,4,1,8,3,5,0.245,0.304,0.402,0.707,0.311,26.80%,7.20%
194,Garrett Mitchell,MIL,94,359,406,86,55,17,3,10,49,45,39,0,121,4,2,2,14,4,10,0.238,0.317,0.385,0.702,0.329,29.90%,9.60%
195,Dylan Beavers,BAL,94,351,406,86,56,16,2,12,51,47,48,1,94,3,3,1,11,4,7,0.246,0.338,0.407,0.744,0.299,23.10%,11.70%
196,Ke'Bryan Hayes,CIN,123,488,532,119,87,20,2,10,55,53,36,1,107,4,3,1,11,3,8,0.244,0.3,0.355,0.655,0.291,20.00%,6.80%
197,Kyle Manzardo,CLE,115,436,497,104,59,22,1,22,58,68,50,2,117,6,5,0,2,0,2,0.239,0.322,0.449,0.771,0.272,23.50%,10.10%
198,Samuel Basallo,BAL,105,395,438,94,54,19,0,21,53,62,35,2,108,4,3,1,2,1,1,0.239,0.306,0.447,0.753,0.274,24.70%,8.10%
199,Daylen Lile,WSN,128,505,553,135,90,25,10,11,66,64,37,0,99,6,4,1,14,5,9,0.267,0.322,0.418,0.741,0.311,17.90%,6.60%
200,Zach McKinstry,DET,109,418,469,100,66,18,6,10,53,45,41,1,101,5,3,1,15,4,11,0.239,0.312,0.382,0.694,0.29,21.60%,8.70%
201,Jac Caglianone,KCR,112,436,483,111,69,20,1,21,59,66,37,2,103,7,3,0,3,1,2,0.255,0.32,0.45,0.77,0.286,21.40%,7.60%
202,Cole Young,SEA,91,344,392,81,56,16,2,7,44,40,38,1,67,5,3,2,5,2,3,0.236,0.321,0.357,0.678,0.273,17.00%,9.80%
203,Josh Smith,TEX,118,446,511,109,75,22,2,10,60,47,49,1,96,11,3,3,9,3,6,0.244,0.331,0.37,0.701,0.288,18.80%,9.60%
204,Salvador Perez,KCR,152,579,626,145,90,27,1,28,66,90,31,6,130,11,4,0,0,0,0,0.251,0.299,0.442,0.742,0.277,20.90%,4.90%
205,Davis Schneider,TOR,75,274,322,60,34,12,1,12,40,39,42,0,92,4,2,1,4,1,3,0.22,0.328,0.407,0.735,0.278,28.40%,12.90%
206,Marcell Ozuna,PIT,122,452,525,111,69,19,0,23,63,70,65,1,128,3,4,0,0,0,0,0.246,0.343,0.441,0.783,0.29,24.40%,12.40%
