#,Name,Team,G,AB,PA,HIP,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_HIP,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%
21,Rafael Devers,BOS,154,533.2180451,601.0,120.19999999999999,0.2511278195488722,0.699248120300752,0.28571428571428575,0.007518796992481205,0.05112781954887219,0.15037593984962405,0.15789473684210528,0.09172932330827067,0.013533834586466167,0.19097744360902255,0.012030075187969926,0.006015037593984963,0.0030075187969924814,0.006015037593984963,0.0030075187969924814,0.0030075187969924814,0.283,0.355957768,0.522033898,0.877991666,0.307159353,19.09774436,9.172932331,525,601,115,0.23793677204658903,0.6608695652173913,0.2956521739130435,0.043478260869565216,0.04658901830282862,0.1447587354409318,0.13810316139767054,0.11148086522462562,0.02329450915141431,0.24459234608985025,0.004991680532445923,0.009983361064891847,0.0,0.004991680532445923,0.0,0.004991680532445923,0.272,0.354,0.516,0.871,0.323,24.5,11.1
22,Manny Machado,SDP,154,575.3157894736843,643.0,125.69924812030075,0.2406015037593985,0.7538461538712764,0.23076923076923075,0.007692307692307694,0.045112781954887216,0.1323308270676692,0.1518796992481203,0.09172932330827067,0.0075187969924812035,0.18796992481203012,0.004511278195488722,0.009022556390977444,0.001503759398496241,0.009022556390977444,0.00300751879699248,0.006015037593984963,0.269,0.336842105,0.472268908,0.809111013,0.291479821,18.79699248,9.172932331,593,643,134,0.2534992223950233,0.7761194029850746,0.22388059701492538,0.0,0.04510108864696734,0.11975116640746501,0.16329704510108864,0.06998444790046657,0.00933125972006221,0.19284603421461896,0.0015552099533437014,0.006220839813374806,0.0,0.017107309486780714,0.003110419906687403,0.013996889580093312,0.275,0.325,0.472,0.797,0.302,19.3,7.0
23,Dansby Swanson,CHC,154,529.6872180451128,593.0,113.24962406015038,0.2255639097744361,0.7559055118110236,0.22834645669291337,0.015748031496062992,0.03458646616541353,0.13082706766917296,0.118796992481203,0.08872180451127819,0.0015037593984962407,0.243609022556391,0.0075187969924812035,0.0075187969924812035,0.0030075187969924814,0.015037593984962407,0.004511278195488721,0.010526315789473684,0.252,0.322775264,0.424242424,0.747017688,0.306763285,24.36090226,8.872180451,534,593,113,0.2175379426644182,0.7433628318584071,0.23893805309734514,0.017699115044247787,0.026981450252951095,0.13827993254637436,0.11129848229342328,0.09106239460370995,0.003372681281618887,0.24283305227655985,0.003372681281618887,0.00505902192242833,0.0,0.03204047217537943,0.00505902192242833,0.026981450252951095,0.242,0.312,0.39,0.701,0.3,24.3,9.1
24,Vladimir Guerrero Jr.,TOR,154,613.1503759398497,697.0000000000001,137.30375939849625,0.24812030075187969,0.7557251908396947,0.23664122137404578,0.007633587786259542,0.051127819548872175,0.13984962406015036,0.156390977443609,0.10225563909774435,0.0075187969924812035,0.14887218045112782,0.010526315789473684,0.006015037593984962,0.0015037593984962405,0.009022556390977442,0.003007518797704447,0.006015037593984962,0.281,0.361445783,0.512820513,0.874266296,0.287280702,14.88721805,10.22556391,616,697,169,0.2855093256814921,0.7337278106508875,0.2603550295857988,0.005917159763313609,0.043041606886657105,0.1406025824964132,0.14777618364418937,0.10329985652797705,0.01721664275466284,0.13773314203730272,0.007173601147776184,0.005738880918220947,0.0,0.0028694404591104736,0.0028694404591104736,0.0,0.323,0.396,0.544,0.94,0.342,13.8,10.3
25,Christian Walker,ARI,154,486.4240602,552.0,101.26917293233083,0.22406015037593985,0.7131147540983607,0.27049180327868855,0.01639344262295082,0.0406015037593985,0.12781954887218044,0.14285714285714288,0.09924812030075189,0.0030075187969924814,0.20751879699248124,0.012030075187969926,0.0075187969924812035,0.0,0.010526315789473684,0.0030075187969924814,0.0075187969924812035,0.254,0.335338346,0.455631399,0.790969745,0.286384977,20.7518797,9.92481203,479,552,94,0.21739130434782608,0.723404255319149,0.2765957446808511,0.0,0.04710144927536232,0.13043478260869565,0.15217391304347827,0.09963768115942029,0.007246376811594203,0.24094202898550723,0.018115942028985508,0.014492753623188406,0.0,0.0036231884057971015,0.0036231884057971015,0.0,0.251,0.335,0.468,0.803,0.287,24.1,10.0
26,Kyle Schwarber,PHI,154,574.4120301,692.0,85.3293233082707,0.18345864661654138,0.7317073170731705,0.2560975609756097,0.012195121951219506,0.06015037593984962,0.1488721804511278,0.14135338345864662,0.1518796992481203,0.006015037593984963,0.29022556390977444,0.009022556390977444,0.004511278195488722,0.004511278195488722,0.006015037593984963,0.0015037593984962403,0.004511278195488722,0.221,0.34592145,0.480072464,0.825993914,0.254658385,29.02255639,15.18796992,573,692,104,0.20520231213872833,0.7884615384615384,0.21153846153846154,0.0,0.05491329479768786,0.15895953757225434,0.15028901734104047,0.1531791907514451,0.005780346820809248,0.2846820809248555,0.0072254335260115606,0.011560693641618497,0.0,0.0072254335260115606,0.004335260115606936,0.002890173410404624,0.248,0.366,0.485,0.851,0.301,28.5,15.3
27,Aaron Judge,NYY,152,585.2401215805471,704.0,109.13069908814589,0.2249240121580547,0.7647058823529412,0.22549019607843138,0.0,0.06990881458966565,0.16261398176291794,0.17629179331306988,0.15349544072948326,0.01671732522796352,0.26899696048632216,0.0060790273556231,0.007598784194528876,0.001519756838905775,0.010638297872340425,0.00303951367781155,0.007598784194528876,0.271,0.385083714,0.563071298,0.948155012,0.310030395,26.89969605,15.34954407,559,704,122,0.2556818181818182,0.6967213114754098,0.29508196721311475,0.00819672131147541,0.08238636363636363,0.17329545454545456,0.20454545454545456,0.18892045454545456,0.028409090909090908,0.24289772727272727,0.01278409090909091,0.002840909090909091,0.0,0.014204545454545454,0.0,0.014204545454545454,0.322,0.458,0.701,1.159,0.367,24.3,18.9
28,Nico Hoerner,CHC,152,578.6534954407294,641.0,149.04711246200608,0.2507598784194529,0.7908496732026143,0.1830065359477124,0.0261437908496732,0.0182370820668693,0.12917933130699089,0.10030395136778116,0.06838905775075987,0.0030395136778115506,0.12006079027355623,0.016717325227963525,0.0060790273556231,0.004559270516717325,0.04711246200607903,0.010638297872340425,0.0364741641337386,0.278,0.337920489,0.398989899,0.736910388,0.301775148,12.00607903,6.838905775,582,641,152,0.24804992199687986,0.7631578947368421,0.23026315789473684,0.006578947368421052,0.0109204368174727,0.13416536661466458,0.0748829953198128,0.0686427457098284,0.0015600624024961,0.1029641185647426,0.0187207488299532,0.0046801872074883,0.0,0.0483619344773791,0.0093603744149766,0.0390015600624025,0.273,0.335,0.373,0.708,0.297,10.3,6.9
29,Ian Happ,CHC,152,567.1367781155014,657.0,119.81762917933128,0.21580547112462004,0.7083333333442416,0.2666666666666667,0.025000000000000005,0.03343465045592706,0.12310030395136777,0.12613981762917933,0.12006079027355623,0.004559270516717325,0.23708206686930092,0.00911854103343465,0.007598784194528876,0.001519756838905775,0.016717325227963525,0.0060790273556231,0.010638297872146119,0.25,0.344984802,0.433098592,0.778083394,0.303797468,23.70820669,12.00607903,569,657,113,0.2100456621004566,0.6814159292035398,0.3008849557522124,0.017699115044247787,0.0380517503805175,0.1354642313546423,0.1308980213089802,0.121765601217656,0.0015220700152207,0.2557077625570776,0.0091324200913242,0.0030441400304414,0.0,0.0197869101978691,0.0030441400304414,0.0167427701674277,0.243,0.341,0.441,0.782,0.299,25.6,12.2
30,Spencer Torkelson,DET,152,332.94072948328267,381.0,61.95592705167172,0.2112462006079027,0.7009345794392524,0.28971962616822433,0.009345794392523366,0.048632218844984795,0.1322188449848024,0.1398176291793313,0.10638297872340426,0.0015197568389057749,0.23404255319148937,0.010638297872340424,0.007598784194528875,0.0015197568389057749,0.004559270516717325,0.0015197568389057749,0.0030395136778115493,0.243,0.328767123,0.466086957,0.79485408,0.271573604,23.40425532,10.63829787,342,381,65,0.1968503937007874,0.6615384615384615,0.3230769230769231,0.015384615384615385,0.026246719160104987,0.11811023622047244,0.09711286089238845,0.08661417322834646,0.0,0.2755905511811024,0.010498687664041995,0.0026246719160104987,0.0,0.0,0.0,0.0,0.219,0.295,0.374,0.669,0.285,27.6,8.7
