#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
230,JR Ritchie,ATL,1,1,4.57,3,3,0,0,,18.1,81,19,10,9,2,7,0,1,15,7.30,3.44,1.42,18.6%,8.8%,1
231,Jose Urquidy,PIT,5,7,4.95,33,15,0,1,,100.1,435,108,59,55,17,30,1,4,73,6.57,2.69,1.37,16.8%,6.9%,5
232,Braden Nett,ATH,2,2,4.50,21,3,0,1,,36.1,160,36,20,18,5,17,1,2,31,7.61,4.16,1.46,19.3%,10.5%,1
233,Kohl Drake,ARI,1,1,4.43,3,3,0,0,,18.1,80,19,10,9,2,7,0,1,16,7.55,3.48,1.40,19.3%,8.9%,1
234,Mitch Farris,LAA,1,2,4.73,5,5,0,0,,27.1,120,28,15,14,4,12,0,1,23,7.56,4.02,1.46,19.1%,10.2%,2
235,Gunnar Hoglund,ATH,2,3,4.74,21,5,0,1,,43.2,188,46,25,23,7,14,0,2,33,6.87,2.80,1.37,17.7%,7.2%,2
236,Trey Gibson,BAL,1,1,4.34,2,2,0,0,,9.1,40,9,5,4,1,3,0,0,8,7.65,3.40,1.40,19.6%,8.7%,1
237,Tink Hence,STL,1,1,4.17,10,2,0,1,,17.1,74,17,9,8,2,6,0,1,15,7.86,3.37,1.35,20.3%,8.7%,1
238,Mitch Bratt,ARI,1,1,4.37,2,2,0,0,,9.1,39,10,5,4,1,3,0,0,7,7.31,2.54,1.31,19.0%,6.6%,1
239,Austin Peterson,CLE,2,2,4.50,15,3,0,1,,30.1,130,32,16,15,5,8,0,1,23,6.65,2.24,1.30,17.3%,5.8%,1
240,Brody Hopkins,TBR,0,1,4.61,2,2,0,0,,9.1,41,9,5,5,1,4,0,1,8,7.68,4.18,1.45,19.3%,10.5%,1
